lemma,singular,plural,article,taxonomic_phrase,novel_property_is,novel_property_have,generic,remove
ram,ram,rams,a ram,are a type of,rams are daxable.,rams have daxes.,p,
trumpet,trumpet,trumpets,a trumpet,are a type of,trumpets are daxable.,trumpets have daxes.,p,
poker,poker,pokers,a poker,are a type of,pokers are daxable.,pokers have daxes.,p,
biscuit,biscuit,biscuits,a biscuit,are a type of,biscuits are daxable.,biscuits have daxes.,p,
iron,iron,irons,an iron,are a type of,irons are daxable.,irons have daxes.,p,
vise,vise,vises,a vise,is a type of,a vise is daxable.,a vise has daxes.,s,
bow,bow,bows,a bow,is a type of,a bow is daxable.,a bow has daxes.,s,
doll,doll,dolls,a doll,are a type of,dolls are daxable.,dolls have daxes.,p,
shrimp,shrimp,shrimps,a shrimp,are a type of,shrimps are daxable.,shrimps have daxes.,p,
tape,tape,tapes,a tape,are a type of,tapes are daxable.,tapes have daxes.,p,
shorts,shorts,shorts,a shorts,are a type of,shorts are daxable.,shorts have daxes.,p,
straightjacket,straightjacket,straightjackets,a straightjacket,are a type of,straightjackets are daxable.,straightjackets have daxes.,p,
bottle,bottle,bottles,a bottle,are a type of,bottles are daxable.,bottles have daxes.,p,
jigsaw puzzle,jigsaw puzzle,jigsaw puzzles,a jigsaw puzzle,are a type of,jigsaw puzzles are daxable.,jigsaw puzzles have daxes.,p,
vehicle,vehicle,vehicles,a vehicle,are a type of,vehicles are daxable.,vehicles have daxes.,p,
doghouse,doghouse,doghouses,a doghouse,are a type of,doghouses are daxable.,doghouses have daxes.,p,
rice,rice,rices,rice,is a type of,rice is daxable.,rice has daxes.,s,
padlock,padlock,padlocks,a padlock,are a type of,padlocks are daxable.,padlocks have daxes.,p,
seaplane,seaplane,seaplanes,a seaplane,are a type of,seaplanes are daxable.,seaplanes have daxes.,p,
horse,horse,horses,a horse,are a type of,horses are daxable.,horses have daxes.,p,
printer,printer,printers,a printer,are a type of,printers are daxable.,printers have daxes.,p,
shelf,shelf,shelves,a shelf,are a type of,shelves are daxable.,shelves have daxes.,p,
eggbeater,eggbeater,eggbeaters,an eggbeater,are a type of,eggbeaters are daxable.,eggbeaters have daxes.,p,
radish,radish,radishes,a radish,are a type of,radishes are daxable.,radishes have daxes.,p,
blender,blender,blenders,a blender,are a type of,blenders are daxable.,blenders have daxes.,p,
organism,organism,organisms,an organism,are a type of,organisms are daxable.,organisms have daxes.,p,
iguana,iguana,iguanas,an iguana,are a type of,iguanas are daxable.,iguanas have daxes.,p,
footwear,footwear,footwears,footwear,is a type of,footwear is daxable.,footwear has daxes.,s,
plum,plum,plums,a plum,are a type of,plums are daxable.,plums have daxes.,p,
grater,grater,graters,a grater,are a type of,graters are daxable.,graters have daxes.,p,
tumbleweed,tumbleweed,tumbleweeds,a tumbleweed,are a type of,tumbleweeds are daxable.,tumbleweeds have daxes.,p,
pliers,pliers,pliers,a pliers,are a type of,pliers are daxable.,pliers have daxes.,p,
leech,leech,leeches,a leech,are a type of,leeches are daxable.,leeches have daxes.,p,
eye patch,eye patch,eye patches,an eye patch,are a type of,eye patches are daxable.,eye patches have daxes.,p,
tiger,tiger,tigers,a tiger,are a type of,tigers are daxable.,tigers have daxes.,p,
kale,kale,kales,kale,is a type of,kale is daxable.,kale has daxes.,s,
coffee pot,coffee pot,coffee pots,a coffee pot,are a type of,coffee pots are daxable.,coffee pots have daxes.,p,
chalk,chalk,chalks,a chalk,are a type of,chalks are daxable.,chalks have daxes.,p,
stiletto,stiletto,stilettoes,a stiletto,are a type of,stilettoes are daxable.,stilettoes have daxes.,p,
applesauce,applesauce,applesauces,applesauce,is a type of,applesauce is daxable.,applesauce has daxes.,s,
bank,bank,banks,a bank,are a type of,banks are daxable.,banks have daxes.,p,
shirt,shirt,shirts,a shirt,are a type of,shirts are daxable.,shirts have daxes.,p,
sweet potato,sweet potato,sweet potatoes,a sweet potato,are a type of,sweet potatoes are daxable.,sweet potatoes have daxes.,p,
soy sauce,soy sauce,soy sauces,soy sauce,is a type of,soy sauce is daxable.,soy sauce has daxes.,s,
clipboard,clipboard,clipboards,a clipboard,are a type of,clipboards are daxable.,clipboards have daxes.,p,
backscratcher,backscratcher,backscratchers,a backscratcher,are a type of,backscratchers are daxable.,backscratchers have daxes.,p,
home decor,home decor,home decors,home decor,is a type of,home decor is daxable.,home decor has daxes.,s,
maple syrup,maple syrup,maple syrups,maple syrup,is a type of,maple syrup is daxable.,maple syrup has daxes.,s,
skateboard,skateboard,skateboards,a skateboard,are a type of,skateboards are daxable.,skateboards have daxes.,p,
cake,cake,cakes,cake,are a type of,cakes are daxable.,cakes have daxes.,p,
cooker,cooker,cookers,a cooker,are a type of,cookers are daxable.,cookers have daxes.,p,
sledgehammer,sledgehammer,sledgehammers,a sledgehammer,are a type of,sledgehammers are daxable.,sledgehammers have daxes.,p,
butterfly,butterfly,butterflies,a butterfly,are a type of,butterflies are daxable.,butterflies have daxes.,p,
record player,record player,record players,a record player,are a type of,record players are daxable.,record players have daxes.,p,
cellphone,cellphone,cellphones,a cellphone,are a type of,cellphones are daxable.,cellphones have daxes.,p,
grass,grass,grasses,grass,is a type of,grass is daxable.,grass has daxes.,s,
bracelet,bracelet,bracelets,a bracelet,are a type of,bracelets are daxable.,bracelets have daxes.,p,
marijuana,marijuana,marijuanas,marijuana,is a type of,marijuana is daxable.,marijuana has daxes.,s,
turtle,turtle,turtles,a turtle,are a type of,turtles are daxable.,turtles have daxes.,p,
hula hoop,hula hoop,hula hoops,a hula hoop,are a type of,hula hoops are daxable.,hula hoops have daxes.,p,
mint,mint,mints,mint,is a type of,mint is daxable.,mint has daxes.,s,
gong,gong,gongs,a gong,are a type of,gongs are daxable.,gongs have daxes.,p,
earring,earring,earrings,an earring,are a type of,earrings are daxable.,earrings have daxes.,p,
bongo,bongo,bongos,a bongo,are a type of,bongos are daxable.,bongos have daxes.,p,
spacesuit,spacesuit,spacesuits,a spacesuit,are a type of,spacesuits are daxable.,spacesuits have daxes.,p,
rhinoceros,rhinoceros,rhinos,a rhinoceros,are a type of,rhinos are daxable.,rhinos have daxes.,p,
sprouts,sprouts,sprouts,a sprouts,are a type of,sprouts are daxable.,sprouts have daxes.,p,
flipper,flipper,flippers,a flipper,are a type of,flippers are daxable.,flippers have daxes.,p,
rocket,rocket,rockets,a rocket,are a type of,rockets are daxable.,rockets have daxes.,p,
safety pin,safety pin,safety pins,a safety pin,are a type of,safety pins are daxable.,safety pins have daxes.,p,
birdhouse,birdhouse,birdhouses,a birdhouse,are a type of,birdhouses are daxable.,birdhouses have daxes.,p,
dolphin,dolphin,dolphins,a dolphin,are a type of,dolphins are daxable.,dolphins have daxes.,p,
alpaca,alpaca,alpacas,an alpaca,are a type of,alpacas are daxable.,alpacas have daxes.,p,
warthog,warthog,warthogs,a warthog,are a type of,warthogs are daxable.,warthogs have daxes.,p,
broccoli,broccoli,broccolis,broccoli,is a type of,broccoli is daxable.,broccoli has daxes.,s,
eggplant,eggplant,eggplants,an eggplant,are a type of,eggplants are daxable.,eggplants have daxes.,p,
soup,soup,soups,a soup,are a type of,soups are daxable.,soups have daxes.,p,
tulip,tulip,tulips,a tulip,are a type of,tulips are daxable.,tulips have daxes.,p,
fast food,fast food,fast foods,a fast food,are a type of,fast foods are daxable.,fast foods have daxes.,p,
machine gun,machine gun,machine guns,a machine gun,are a type of,machine guns are daxable.,machine guns have daxes.,p,
accessory,accessory,accessories,an accessory,are a type of,accessories are daxable.,accessories have daxes.,p,
tablet,tablet,tablets,a tablet,are a type of,tablets are daxable.,tablets have daxes.,p,
police car,police car,police cars,a police car,are a type of,police cars are daxable.,police cars have daxes.,p,
station wagon,station wagon,station wagons,a station wagon,are a type of,station wagons are daxable.,station wagons have daxes.,p,
starfish,starfish,starfish,a starfish,are a type of,starfish are daxable.,starfish have daxes.,p,
ice cream,ice cream,ice creams,an ice cream,are a type of,ice creams are daxable.,ice creams have daxes.,p,
blueberry,blueberry,blueberries,a blueberry,are a type of,blueberries are daxable.,blueberries have daxes.,p,
razor,razor,razors,a razor,are a type of,razors are daxable.,razors have daxes.,p,
table,table,tables,a table,are a type of,tables are daxable.,tables have daxes.,p,
highlighter,highlighter,highlighters,a highlighter,are a type of,highlighters are daxable.,highlighters have daxes.,p,
milkshake,milkshake,milkshakes,a milkshake,are a type of,milkshakes are daxable.,milkshakes have daxes.,p,
rat,rat,rats,a rat,are a type of,rats are daxable.,rats have daxes.,p,
clove,clove,cloves,a clove,are a type of,cloves are daxable.,cloves have daxes.,p,
calamari,calamari,calamaris,calamari,is a type of,calamari is daxable.,calamari has daxes.,s,
tuba,tuba,tubas,a tuba,are a type of,tubas are daxable.,tubas have daxes.,p,
butter,butter,butter,butter,is a type of,butter is daxable.,butter has daxes.,s,
rim,rim,rims,a rim,are a type of,rims are daxable.,rims have daxes.,p,
spatula,spatula,spatulas,a spatula,are a type of,spatulas are daxable.,spatulas have daxes.,p,
crank,crank,cranks,a crank,are a type of,cranks are daxable.,cranks have daxes.,p,
crab,crab,crabs,a crab,are a type of,crabs are daxable.,crabs have daxes.,p,
pocketknife,pocketknife,pocketknives,a pocketknife,are a type of,pocketknives are daxable.,pocketknives have daxes.,p,
beetle,beetle,beetles,a beetle,are a type of,beetles are daxable.,beetles have daxes.,p,
tool,tool,tools,a tool,are a type of,tools are daxable.,tools have daxes.,p,
hot-air balloon,hot-air balloon,hot-air balloons,a hot-air balloon,are a type of,hot-air balloons are daxable.,hot-air balloons have daxes.,p,
pepper mill,pepper mill,pepper mills,a pepper mill,are a type of,pepper mills are daxable.,pepper mills have daxes.,p,
rattle,rattle,rattles,a rattle,are a type of,rattles are daxable.,rattles have daxes.,p,
eagle,eagle,eagles,an eagle,are a type of,eagles are daxable.,eagles have daxes.,p,
key,key,keys,a key,are a type of,keys are daxable.,keys have daxes.,p,
boa,boa,boas,a boa,are a type of,boas are daxable.,boas have daxes.,p,
trashcan,trashcan,trashcans,a trashcan,are a type of,trashcans are daxable.,trashcans have daxes.,p,
hairspray,hairspray,hairsprays,a hairspray,are a type of,hairsprays are daxable.,hairsprays have daxes.,p,
poster,poster,posters,a poster,are a type of,posters are daxable.,posters have daxes.,p,
lock,lock,locks,a lock,are a type of,locks are daxable.,locks have daxes.,p,
dishwasher,dishwasher,dishwashers,a dishwasher,are a type of,dishwashers are daxable.,dishwashers have daxes.,p,
wine cooler,wine cooler,wine coolers,a wine cooler,are a type of,wine coolers are daxable.,wine coolers have daxes.,p,
mitten,mitten,mittens,a mitten,are a type of,mittens are daxable.,mittens have daxes.,p,
hotplate,hotplate,hotplates,a hotplate,are a type of,hotplates are daxable.,hotplates have daxes.,p,
roll,roll,rolls,a roll,are a type of,rolls are daxable.,rolls have daxes.,p,
toolbox,toolbox,toolboxes,a toolbox,are a type of,toolboxes are daxable.,toolboxes have daxes.,p,
ferret,ferret,ferrets,a ferret,are a type of,ferrets are daxable.,ferrets have daxes.,p,
transportation,transportation,transportations,transportation,is a type of,transportation is daxable.,transportation has daxes.,s,
grain,grain,grains,a grain,are a type of,grains are daxable.,grains have daxes.,p,
license plate,license plate,license plates,a license plate,are a type of,license plates are daxable.,license plates have daxes.,p,
bowler hat,bowler hat,bowler hats,a bowler hat,are a type of,bowler hats are daxable.,bowler hats have daxes.,p,
chopsticks,chopsticks,chopsticks,a chopsticks,are a type of,chopsticks are daxable.,chopsticks have daxes.,p,
tank,tank,tanks,a tank,are a type of,tanks are daxable.,tanks have daxes.,p,
dashboard,dashboard,dashboards,a dashboard,are a type of,dashboards are daxable.,dashboards have daxes.,p,
radio,radio,radios,a radio,are a type of,radios are daxable.,radios have daxes.,p,
lighter,lighter,lighters,a lighter,is a type of,a lighter is daxable.,a lighter has daxes.,s,
pigeon,pigeon,pigeons,a pigeon,are a type of,pigeons are daxable.,pigeons have daxes.,p,
pin,pin,pins,a pin,are a type of,pins are daxable.,pins have daxes.,p,
livestock,livestock,livestocks,livestock,are a type of,livestocks are daxable.,livestocks have daxes.,p,
batter,batter,batters,a batter,are a type of,batters are daxable.,batters have daxes.,p,
crayon,crayon,crayons,a crayon,are a type of,crayons are daxable.,crayons have daxes.,p,
plaster cast,plaster cast,plaster casts,a plaster cast,are a type of,plaster casts are daxable.,plaster casts have daxes.,p,
staple,staple,staples,a staple,are a type of,staples are daxable.,staples have daxes.,p,
substance,substance,substances,a substance,are a type of,substances are daxable.,substances have daxes.,p,
jackhammer,jackhammer,jackhammers,a jackhammer,are a type of,jackhammers are daxable.,jackhammers have daxes.,p,
mailbox,mailbox,mailboxes,a mailbox,are a type of,mailboxes are daxable.,mailboxes have daxes.,p,
chickpea,chickpea,chickpeas,chickpea,are a type of,chickpeas are daxable.,chickpeas have daxes.,p,
basket,basket,baskets,a basket,are a type of,baskets are daxable.,baskets have daxes.,p,
mixer,mixer,mixers,a mixer,are a type of,mixers are daxable.,mixers have daxes.,p,
boot,boot,boots,a boot,are a type of,boots are daxable.,boots have daxes.,p,
switch,switch,switches,a switch,are a type of,switches are daxable.,switches have daxes.,p,
bunkbed,bunkbed,bunkbeds,a bunkbed,are a type of,bunkbeds are daxable.,bunkbeds have daxes.,p,
dalmatian,dalmatian,dalmatians,a dalmatian,are a type of,dalmatians are daxable.,dalmatians have daxes.,p,
poinsettia,poinsettia,poinsettias,a poinsettia,are a type of,poinsettias are daxable.,poinsettias have daxes.,p,
coat rack,coat rack,coat racks,a coat rack,are a type of,coat racks are daxable.,coat racks have daxes.,p,
oatmeal,oatmeal,oatmeals,oatmeal,is a type of,oatmeal is daxable.,oatmeal has daxes.,s,
couch,couch,couches,a couch,are a type of,couches are daxable.,couches have daxes.,p,
router,router,routers,a router,are a type of,routers are daxable.,routers have daxes.,p,
espresso,espresso,espressos,an espresso,is a type of,an espresso is daxable.,an espresso has daxes.,s,
rhubarb,rhubarb,rhubarbs,a rhubarb,are a type of,rhubarbs are daxable.,rhubarbs have daxes.,p,
pineapple,pineapple,pineapples,a pineapple,are a type of,pineapples are daxable.,pineapples have daxes.,p,
refrigerator,refrigerator,refrigerators,a refrigerator,are a type of,refrigerators are daxable.,refrigerators have daxes.,p,
pinball,pinball,pinballs,a pinball,are a type of,pinballs are daxable.,pinballs have daxes.,p,
sandbag,sandbag,sandbags,a sandbag,are a type of,sandbags are daxable.,sandbags have daxes.,p,
parfait,parfait,parfaits,a parfait,are a type of,parfaits are daxable.,parfaits have daxes.,p,
orange,orange,oranges,an orange,are a type of,oranges are daxable.,oranges have daxes.,p,
scrabble,scrabble,scrabbles,scrabble,is a type of,scrabble is daxable.,scrabble has daxes.,s,
train set,train set,train sets,a train set,are a type of,train sets are daxable.,train sets have daxes.,p,
visor,visor,visors,a visor,are a type of,visors are daxable.,visors have daxes.,p,
peeler,peeler,peelers,a peeler,are a type of,peelers are daxable.,peelers have daxes.,p,
veil,veil,veils,a veil,are a type of,veils are daxable.,veils have daxes.,p,
letter opener,letter opener,letter openers,a letter opener,are a type of,letter openers are daxable.,letter openers have daxes.,p,
earwig,earwig,earwigs,an earwig,are a type of,earwigs are daxable.,earwigs have daxes.,p,
macadamia,macadamia nut,macadamia nuts,a macadamia nut,are a type of,macadamia nuts are daxable.,macadamia nuts have daxes.,p,
arrow,arrow,arrows,an arrow,are a type of,arrows are daxable.,arrows have daxes.,p,
wallet,wallet,wallets,a wallet,are a type of,wallets are daxable.,wallets have daxes.,p,
chinchilla,chinchilla,chinchillas,a chinchilla,are a type of,chinchillas are daxable.,chinchillas have daxes.,p,
spider,spider,spiders,a spider,are a type of,spiders are daxable.,spiders have daxes.,p,
waffle,waffle,waffles,a waffle,are a type of,waffles are daxable.,waffles have daxes.,p,
pie,pie,pies,a pie,are a type of,pies are daxable.,pies have daxes.,p,
coffeemaker,coffeemaker,coffeemakers,a coffeemaker,are a type of,coffeemakers are daxable.,coffeemakers have daxes.,p,
cracker,cracker,crackers,a cracker,are a type of,crackers are daxable.,crackers have daxes.,p,
air pump,air pump,air pumps,an air pump,are a type of,air pumps are daxable.,air pumps have daxes.,p,
sword,sword,swords,a sword,are a type of,swords are daxable.,swords have daxes.,p,
lip balm,lip balm,lip balms,a lip balm,are a type of,lip balms are daxable.,lip balms have daxes.,p,
flute,flute,flutes,a flute,are a type of,flutes are daxable.,flutes have daxes.,p,
raspberry,raspberry,raspberries,a raspberry,are a type of,raspberries are daxable.,raspberries have daxes.,p,
breadbox,breadbox,breadboxes,a breadbox,are a type of,breadboxes are daxable.,breadboxes have daxes.,p,
ferry,ferry,ferries,a ferry,are a type of,ferries are daxable.,ferries have daxes.,p,
hoe,hoe,hoes,a hoe,are a type of,hoes are daxable.,hoes have daxes.,p,
train,train,trains,a train,are a type of,trains are daxable.,trains have daxes.,p,
chair,chair,chairs,a chair,are a type of,chairs are daxable.,chairs have daxes.,p,
snake,snake,snakes,a snake,are a type of,snakes are daxable.,snakes have daxes.,p,
decoration,decoration,decorations,a decoration,are a type of,decorations are daxable.,decorations have daxes.,p,
saw,saw,saws,a saw,are a type of,saws are daxable.,saws have daxes.,p,
baton,baton,batons,a baton,are a type of,batons are daxable.,batons have daxes.,p,
glass,glass,glasses,a glass,are a type of,glasses are daxable.,glasses have daxes.,p,
file,file,files,a file,are a type of,files are daxable.,files have daxes.,p,
bug,bug,bugs,a bug,are a type of,bugs are daxable.,bugs have daxes.,p,
shortbread,shortbread,shortbreads,shortbread,is a type of,shortbread is daxable.,shortbread has daxes.,s,
toga,toga,togas,a toga,are a type of,togas are daxable.,togas have daxes.,p,
pepper,pepper,peppers,a pepper,are a type of,peppers are daxable.,peppers have daxes.,p,
aardvark,aardvark,aardvarks,an aardvark,are a type of,aardvarks are daxable.,aardvarks have daxes.,p,
metal detector,metal detector,metal detectors,a metal detector,are a type of,metal detectors are daxable.,metal detectors have daxes.,p,
bench,bench,benches,a bench,are a type of,benches are daxable.,benches have daxes.,p,
airplane,airplane,airplanes,an airplane,are a type of,airplanes are daxable.,airplanes have daxes.,p,
boat,boat,boats,a boat,are a type of,boats are daxable.,boats have daxes.,p,
wreath,wreath,wreaths,a wreath,are a type of,wreaths are daxable.,wreaths have daxes.,p,
shopping basket,shopping basket,shopping baskets,a shopping basket,are a type of,shopping baskets are daxable.,shopping baskets have daxes.,p,
loincloth,loincloth,loincloths,a loincloth,are a type of,loincloths are daxable.,loincloths have daxes.,p,
meatloaf,meatloaf,meatloafs,a meatloaf,is a type of,a meatloaf is daxable.,a meatloaf has daxes.,s,
manatee,manatee,manatees,a manatee,are a type of,manatees are daxable.,manatees have daxes.,p,
waffle iron,waffle iron,waffle irons,a waffle iron,are a type of,waffle irons are daxable.,waffle irons have daxes.,p,
car door,car door,car doors,a car door,are a type of,car doors are daxable.,car doors have daxes.,p,
candy,candy,candies,candy,is a type of,candy is daxable.,candy has daxes.,s,
slicer,slicer,slicers,a slicer,are a type of,slicers are daxable.,slicers have daxes.,p,
squid,squid,squids,a squid,are a type of,squids are daxable.,squids have daxes.,p,
snack,snack,snacks,a snack,are a type of,snacks are daxable.,snacks have daxes.,p,
whipped cream,whipped cream,whipped creams,whipped cream,is a type of,whipped cream is daxable.,whipped cream has daxes.,s,
covering,covering,coverings,a covering,are a type of,coverings are daxable.,coverings have daxes.,p,
cougar,cougar,cougars,a cougar,are a type of,cougars are daxable.,cougars have daxes.,p,
eraser,eraser,erasers,an eraser,are a type of,erasers are daxable.,erasers have daxes.,p,
bulldozer,bulldozer,bulldozers,a bulldozer,are a type of,bulldozers are daxable.,bulldozers have daxes.,p,
cot,cot,cots,a cot,are a type of,cots are daxable.,cots have daxes.,p,
vulture,vulture,vultures,a vulture,are a type of,vultures are daxable.,vultures have daxes.,p,
string cheese,string cheese,string cheeses,string cheese,is a type of,string cheese is daxable.,string cheese has daxes.,s,
lollipop,lollipop,lollipops,a lollipop,are a type of,lollipops are daxable.,lollipops have daxes.,p,
banana,banana,bananas,a banana,are a type of,bananas are daxable.,bananas have daxes.,p,
bologna,bologna,bolognas,a bologna,is a type of,a bologna is daxable.,a bologna has daxes.,s,1
first-aid kit,first-aid kit,first-aid kits,a first-aid kit,are a type of,first-aid kits are daxable.,first-aid kits have daxes.,p,
pitchfork,pitchfork,pitchforks,a pitchfork,are a type of,pitchforks are daxable.,pitchforks have daxes.,p,
backpack,backpack,backpacks,a backpack,are a type of,backpacks are daxable.,backpacks have daxes.,p,
toaster,toaster,toasters,a toaster,are a type of,toasters are daxable.,toasters have daxes.,p,
dough,dough,doughs,dough,is a type of,dough is daxable.,dough has daxes.,s,
closet,closet,closets,a closet,are a type of,closets are daxable.,closets have daxes.,p,
grille,grille,grilles,a grill,are a type of,grilles are daxable.,grilles have daxes.,p,
pipe,pipe,pipes,a pipe,are a type of,pipes are daxable.,pipes have daxes.,p,
otter,otter,otters,an otter,are a type of,otters are daxable.,otters have daxes.,p,
treadmill,treadmill,treadmills,a treadmill,are a type of,treadmills are daxable.,treadmills have daxes.,p,
jet,jet,jets,a jet,are a type of,jets are daxable.,jets have daxes.,p,
anklet,anklet,anklets,an anklet,are a type of,anklets are daxable.,anklets have daxes.,p,
kettle,kettle,kettles,a kettle,are a type of,kettles are daxable.,kettles have daxes.,p,
sauce,sauce,sauces,a sauce,are a type of,sauces are daxable.,sauces have daxes.,p,
marshmallow,marshmallow,marshmallows,a marshmallow,are a type of,marshmallows are daxable.,marshmallows have daxes.,p,
ladybug,ladybug,ladybugs,a ladybug,are a type of,ladybugs are daxable.,ladybugs have daxes.,p,
cane,cane,canes,a cane,are a type of,canes are daxable.,canes have daxes.,p,
camel,camel,camels,a camel,are a type of,camels are daxable.,camels have daxes.,p,
cinnamon,cinnamon,cinnamons,cinnamon,is a type of,cinnamon is daxable.,cinnamon has daxes.,s,
accordion,accordion,accordions,an accordion,are a type of,accordions are daxable.,accordions have daxes.,p,
glove,glove,gloves,a glove,are a type of,gloves are daxable.,gloves have daxes.,p,
test tube,test tube,test tubes,a test tube,are a type of,test tubes are daxable.,test tubes have daxes.,p,
bison,bison,bisons,a bison,are a type of,bisons are daxable.,bisons have daxes.,p,
flatiron,flatiron,flatirons,a flatiron,are a type of,flatirons are daxable.,flatirons have daxes.,p,
barnacle,barnacle,barnacles,a barnacle,are a type of,barnacles are daxable.,barnacles have daxes.,p,
hat,hat,hats,a hat,are a type of,hats are daxable.,hats have daxes.,p,
bucket,bucket,buckets,a bucket,are a type of,buckets are daxable.,buckets have daxes.,p,
camper,camper,campers,a camper,are a type of,campers are daxable.,campers have daxes.,p,
oilcan,oilcan,oilcans,an oilcan,are a type of,oilcans are daxable.,oilcans have daxes.,p,
potpie,potpie,potpies,a potpie,are a type of,potpies are daxable.,potpies have daxes.,p,
saxophone,saxophone,saxophones,a saxophone,are a type of,saxophones are daxable.,saxophones have daxes.,p,
paper,paper,papers,paper,is a type of,paper is daxable.,paper has daxes.,s,
saltshaker,saltshaker,saltshakers,a saltshaker,are a type of,saltshakers are daxable.,saltshakers have daxes.,p,
handle,handle,handles,a handle,are a type of,handles are daxable.,handles have daxes.,p,
vending machine,vending machine,vending machines,a vending machine,are a type of,vending machines are daxable.,vending machines have daxes.,p,
blower,blower,blowers,a blower,are a type of,blowers are daxable.,blowers have daxes.,p,
macaroni,macaroni,macaroni,macaroni,is a type of,macaroni is daxable.,macaroni has daxes.,s,
chick,chick,chicks,a chick,are a type of,chicks are daxable.,chicks have daxes.,p,
makeup,makeup,makeups,makeup,is a type of,makeup is daxable.,makeup has daxes.,s,
bikini,bikini,bikinis,a bikini,are a type of,bikinis are daxable.,bikinis have daxes.,p,
tomato,tomato,tomatoes,a tomato,are a type of,tomatoes are daxable.,tomatoes have daxes.,p,
hotdog,hotdog,hotdogs,a hotdog,are a type of,hotdogs are daxable.,hotdogs have daxes.,p,
bracket,bracket,brackets,a bracket,are a type of,brackets are daxable.,brackets have daxes.,p,
parrot,parrot,parrots,a parrot,are a type of,parrots are daxable.,parrots have daxes.,p,
hot tub,hot tub,hot tubs,a hot tub,are a type of,hot tubs are daxable.,hot tubs have daxes.,p,
camera,camera,cameras,a camera,are a type of,cameras are daxable.,cameras have daxes.,p,
yogurt,yogurt,yogurts,a yogurt,are a type of,yogurts are daxable.,yogurts have daxes.,p,
bus,bus,buses,a bus,are a type of,buses are daxable.,buses have daxes.,p,
coconut,coconut,coconuts,a coconut,are a type of,coconuts are daxable.,coconuts have daxes.,p,
barrette,barrette,barrettes,a barrette,are a type of,barrettes are daxable.,barrettes have daxes.,p,
fan,fan,fans,a fan,are a type of,fans are daxable.,fans have daxes.,p,
sorbet,sorbet,sorbets,a sorbet,are a type of,sorbets are daxable.,sorbets have daxes.,p,
clipper,clipper,clippers,a clipper,are a type of,clippers are daxable.,clippers have daxes.,p,
eclair,eclair,eclairs,an eclair,are a type of,eclairs are daxable.,eclairs have daxes.,p,
spark plug,spark plug,spark plugs,a spark plug,are a type of,spark plugs are daxable.,spark plugs have daxes.,p,
celery,celery,celeries,a celery,are a type of,celeries are daxable.,celeries have daxes.,p,
mascara,mascara,mascaras,a mascara,are a type of,mascaras are daxable.,mascaras have daxes.,p,
drum,drum,drums,a drum,are a type of,drums are daxable.,drums have daxes.,p,
gum,gum,gums,a gum,are a type of,gums are daxable.,gums have daxes.,p,
pelican,pelican,pelicans,a pelican,are a type of,pelicans are daxable.,pelicans have daxes.,p,
leggings,legging,leggings,a legging,are a type of,leggings are daxable.,leggings have daxes.,p,
generator,generator,generators,a generator,are a type of,generators are daxable.,generators have daxes.,p,
egg roll,egg roll,egg rolls,an egg roll,are a type of,egg rolls are daxable.,egg rolls have daxes.,p,
popcorn,popcorn,popcorns,popcorn,is a type of,popcorn is daxable.,popcorn has daxes.,s,
weather vane,weather vane,weather vanes,a weather vane,are a type of,weather vanes are daxable.,weather vanes have daxes.,p,
rollerskate,rollerskate,rollerskates,a rollerskate,are a type of,rollerskates are daxable.,rollerskates have daxes.,p,
dustpan,dustpan,dustpans,a dustpan,are a type of,dustpans are daxable.,dustpans have daxes.,p,
chalkboard,chalkboard,chalkboards,a chalkboard,are a type of,chalkboards are daxable.,chalkboards have daxes.,p,
school supply,school supply,school supplies,a school supply,are a type of,school supplies are daxable.,school supplies have daxes.,p,
flyswatter,flyswatter,flyswatters,a flyswatter,are a type of,flyswatters are daxable.,flyswatters have daxes.,p,
hopscotch,hopscotch,hopscotches,a hopscotch,are a type of,hopscotches are daxable.,hopscotches have daxes.,p,
ruler,ruler,rulers,a ruler,are a type of,rulers are daxable.,rulers have daxes.,p,
medical equipment,medical equipment,medical equipments,medical equipment,is a type of,medical equipment is daxable.,medical equipment has daxes.,s,
canoe,canoe,canoes,a canoe,are a type of,canoes are daxable.,canoes have daxes.,p,
pants,pant,pants,pants,are a type of,pants are daxable.,pants have daxes.,p,
grinder,grinder,grinders,a grinder,are a type of,grinders are daxable.,grinders have daxes.,p,
raisin,raisin,raisins,a raisin,are a type of,raisins are daxable.,raisins have daxes.,p,
limousine,limousine,limousines,a limousine,are a type of,limousines are daxable.,limousines have daxes.,p,
airboat,airboat,airboats,an airboat,are a type of,airboats are daxable.,airboats have daxes.,p,
cable,cable,cables,a cable,are a type of,cables are daxable.,cables have daxes.,p,
koala,koala,koalas,a koala,are a type of,koalas are daxable.,koalas have daxes.,p,
wolf,wolf,wolves,a wolf,are a type of,wolves are daxable.,wolves have daxes.,p,
burner,burner,burners,a burner,are a type of,burners are daxable.,burners have daxes.,p,
peppermint,peppermint,peppermints,a peppermint,are a type of,peppermints are daxable.,peppermints have daxes.,p,
eggnog,eggnog,eggnogs,eggnog,is a type of,eggnog is daxable.,eggnog has daxes.,s,
orangutan,orangutan,orangutans,an orangutan,are a type of,orangutans are daxable.,orangutans have daxes.,p,
crutch,crutch,crutches,a crutch,are a type of,crutches are daxable.,crutches have daxes.,p,
