noun,sense,replacement,marked,notes
dining_table,dining_table.n.01,,,
sea_foam,NF,,1,
table_lamp,table_lamp.n.01,,,
daisy,daisy.n.01,,,
bone,bone.n.01,,,
comb,comb.n.01,,,
office_chair,NF,,,manual
meadow,hayfield.n.01,,1,
bus_driver,busman.n.01,,,
hamburger,hamburger.n.01,,,
farm,farm.n.01,,,
baseball_players,ballplayer.n.01,,,
cooker,cooker.n.01,,,
coconut,coconut.n.01,,,
baseball_mitt,baseball_glove.n.01,,,
battery,battery.n.01,,,
toddler,toddler.n.01,,1,
bandage,bandage.n.01,,,
soda_bottle,pop_bottle.n.01,,,
bar_stool,NF,,,manual
gas_stove,gas_range.n.01,,,
customer,customer.n.01,,1,
touchpad,NF,,1,
courtyard,court.n.10,,1,
luggage_cart,NF,,1,
tea_pot,NF,teapot.n.01,,
athlete,athlete.n.01,,,
desert,desert.n.01,,,
cowboy,cowboy.n.01,,,
dragon,dragon.n.01,,1,
pizza_crust,NF,,1,
flame,fire.n.03,,1,
hilltop,hilltop.n.01,,1,
panda,giant_panda.n.01,,,
stapler,stapler.n.01,,,
eggplant,eggplant.n.01,,,
bottle_cap,NF,,1,
dining_room,dining_room.n.01,,,
chili,chili.n.01,,,
desk_lamp,NF,,,manual
bedding,bedclothes.n.01,bedding.n.01,,
pouch,pouch.n.01,,,
receipt,reception.n.04,receipt.n.02,,
wheelchair,wheelchair.n.01,,,
peanut,peanut.n.01,,,
puppy,puppy.n.01,,,
projector,projector.n.01,,,
teddy_bears,teddy.n.01,,4,toy
tattoo,tattoo.n.01,,1,
ketchup_bottle,catsup_bottle.n.01,,,
spray_bottle,NF,,1,
owl,owl.n.01,,,
cooking_utensils,cooking_utensil.n.01,,1,
ostrich,ostrich.n.01,ostrich.n.02,,
tortilla,tortilla.n.01,,,
turkey,turkey.n.01,,,
hotel_room,hotel_room.n.01,,1,
chalkboard,blackboard.n.01,,,
marina,marina.n.01,,1,
sword,sword.n.01,,,
knife_block,NF,,1,
money,money.n.01,,1,
raincoat,raincoat.n.01,,,
waterfall,waterfall.n.01,,1,
penguin,penguin.n.01,,,
beach_umbrella,NF,,1,
school_bus,school_bus.n.01,,,
pizza_cutter,NF,,,manual
toaster_oven,toaster_oven.n.01,,,
eagle,eagle.n.01,,,
video_camera,NF,,,manual
serving_tray,NF,,,manual
bath_towel,bath_towel.n.01,,,
cafe,cafe.n.01,,1,
kiosk,booth.n.02,,1,
yogurt,yogurt.n.01,,,
macaroni,macaroni.n.01,,,
banana_peel,banana_peel.n.01,,1,
food_truck,NF,,,manual
seal,sealing_wax.n.01,,1,
soccer_player,soccer_player.n.01,,,
christmas_lights,NF,,,manual
electric_toothbrush,electric_toothbrush.n.01,,,
employee,employee.n.01,,1,
coin,coin.n.01,,,
almond,almond.n.01,,,
gentleman,gentleman.n.01,,,
rib,rib.n.01,,3,bp
shampoo,shampoo.n.01,,,
beet,beet.n.01,beet.n.02,,
village,village.n.01,,1,
bunny,bunny.n.01,bunny.n.02,,
christmas_light,NF,,,manual
hangar,airdock.n.01,,1,
donkey,donkey.n.01,,,
tennis_balls,tennis_ball.n.01,,,
shoe_laces,shoelace.n.01,,,
alcohol,alcohol.n.01,,,
skillet,frying_pan.n.01,,,
jewelry,jewelry.n.01,,,
calculator,calculator.n.01,,,
soap_bottle,NF,,,manual
honey,honey.n.01,,,
backyard,backyard.n.01,,,
underwear,underwear.n.01,,,
computer_desk,NF,,,manual
fruit_stand,NF,,1,
parrot,parrot.n.01,,,
garment,garment.n.01,,,
cell_phones,cell_phone.v.01,,,
hair_dryer,hand_blower.n.01,,,
gown,gown.n.01,,,
aquarium,aquarium.n.01,,,
washing_machine,washer.n.03,,,
medicine_cabinet,medicine_chest.n.01,,,
cash_register,cash_register.n.01,,,
waste_basket,wastepaper_basket.n.01,,,
router,router.n.01,router.n.02,,
museum,museum.n.01,,1,
instrument,instrument.n.01,instrument.n.06,,assuming musical instrument
restroom,public_toilet.n.01,,,
peanut_butter,peanut_butter.n.01,,,
earphone,earphone.n.01,,,
video_games,computer_game.n.01,,,
pizza_box,NF,,1,
mashed_potatoes,NF,,,manual
dish_soap,NF,,,manual
bug,bug.n.01,,,
cranberry,cranberry.n.01,,,
gift,gift.n.01,,1,
vending_machine,vending_machine.n.01,,,
sushi,sushi.n.01,,,
tiger,tiger.n.01,tiger.n.02,,
pig,hog.n.03,,,
grapefruit,grapefruit.n.01,,,
walnut,walnut.n.01,,,
gas_pump,gas_pump.n.01,,,
helicopter,helicopter.n.01,,,
diaper,diaper.n.01,,,
sconce,sconce.n.01,,,
ambulance,ambulance.n.01,,,
snow_boots,NF,,,manual
tofu,bean_curd.n.01,,,
chinese_food,NF,,1,
fishing_pole,fishing_rod.n.01,,,
frog,frog.n.01,,,
storage_box,NF,,,manual
classroom,classroom.n.01,,,
football,football.n.01,football.n.02,,contextual -- could be soccer ball too?
toy_car,NF,,4,toy
vendor,seller.n.01,,1,
father,father.n.01,,1,
obstacle,obstacle.n.01,,1,
hurdle,hurdle.n.01,,1,
feta_cheese,NF,,1,
alligator,alligator.n.01,,,
hand_soap,NF,,,manual
potato_chips,chip.n.04,,,
pomegranate,pomegranate.n.01,,,
visitor,visitor.n.01,,1,
onion_ring,NF,,1,
papaya,papaya.n.01,,,
seat_belt,seat_belt.n.01,,1,
dolphin,dolphinfish.n.02,dolphin.n.02,,"wordnet classifies them as whales, which might be true, but no folk taxonomy considers that to be true"
shark,shark.n.01,,,
bird_cage,NF,,,manual
cheese_cube,NF,,,manual
shopper,shopper.n.01,,1,
mountain_peak,mountain_peak.n.01,,1,
merchandise,merchandise.n.01,,1,
engineer,engineer.n.01,,1,
plantain,plantain.n.01,,,
shampoo_bottle,NF,,1,
lego,lego.n.01,,4,toy
stuffed_dog,NF,,4,toy
water_bottles,water_bottle.n.01,,,
mountain_side,NF,,1,
nest,nest.n.01,,,
hammer,hammer.n.01,,,
coffee_bean,coffee_bean.n.01,,,
pretzel,pretzel.n.01,,,
rabbit,rabbit.n.01,,,
artichoke,artichoke.n.01,,,
omelette,omelet.n.01,,,
coleslaw,coleslaw.n.01,,,
rubber_duck,NF,,4,toy
salmon,salmon.n.01,,,
milk_carton,NF,,,manual
rhino,rhinoceros.n.01,,,
remote_controls,remote_control.n.01,,,
grinder,bomber.n.03,grinder.n.03,,
wig,wig.n.01,,,
appetizer,appetizer.n.01,,1,
sugar_packets,NF,,1,
ice_maker,ice_maker.n.01,,,
waffle,waffle.n.01,,,
oak_tree,oak.n.02,,,
temple,temple.n.01,,,
mall,promenade.n.02,,1,
cathedral,cathedral.n.01,,,
bell_tower,bell_tower.n.01,,,
bison,bison.n.01,,,
spear,spear.n.01,,,
whisk,whisk.n.01,,,
library,library.n.01,,,
cheesecake,cheesecake.n.01,,,
egg_yolk,egg_yolk.n.01,,,
sour_cream,sour_cream.n.01,,,
horse_hoof,NF,,1,
mayonnaise,mayonnaise.n.01,,,
scrub_brush,scrub_brush.n.01,,,
olive_oil,olive_oil.n.01,,,
broth,broth.n.01,,,
elevator,elevator.n.01,,,
guacamole,guacamole.n.01,,,
rolling_pin,rolling_pin.n.01,,,
parent,parent.n.01,,,
grater,grater.n.01,,,
factory,factory.n.01,,,
liquor,liquor.n.01,,,
toothpick,toothpick.n.01,,,
lobster,lobster.n.01,,,
baking_sheet,NF,,1,
marshmallow,marshmallow.n.01,,,
microwave_oven,microwave.n.02,,,
ingredient,ingredient.n.01,,1,
beer_can,beer_can.n.01,,,
hippo,hippo.n.01,,,
vacuum,vacuum.n.01,,,
cereal_box,cereal_box.n.01,,,
sweet_potato,sweet_potato.n.01,,,
chef_hat,NF,,,manual
cigar,cigar.n.01,,,
baked_goods,baked_goods.n.01,,1,
alien,foreigner.n.01,,1,
spider,spider.n.01,,,
hard_drive,disk_drive.n.01,,,
ice_cubes,ice_cube.n.01,,,
egg_shell,NF,,1,
shopping_cart,shopping_cart.n.01,,,
plier,plier.n.01,,,
burrito,burrito.n.01,,,
mixing_bowl,mixing_bowl.n.01,,,
cooking_pot,NF,,,manual
hair_clip,NF,,,manual
panda_bear,giant_panda.n.01,,,
eiffel_tower,eiffel_tower.n.01,,1,
cinnamon_roll,cinnamon_roll.n.01,,,
octopus,octopus.n.01,,,
paper_container,NF,,,manual
cat_food,cat_food.n.01,,1,
snake,snake.n.01,,,
mickey_mouse,mickey_mouse.n.01,,1,
salad_dressing,dressing.n.01,,,
pizza_pan,NF,,,manual
soda_cans,soda_can.n.01,,,
mustard_bottle,NF,,1,
ramekin,ramekin.n.01,,,
camel,camel.n.01,,,
meatball,meatball.n.01,,,
accessory,accessory.n.01,,1,
thermometer,thermometer.n.01,,,
onion_rings,NF,,1,
spray_can,aerosol.n.02,,,
paper_dispenser,NF,,1,
cream_cheese,cream_cheese.n.01,,,
kitchen_towel,NF,paper_towel.n.01,,
paint_brush,NF,paintbrush.n.01,,
ear_buds,NF,,1,
toolbox,toolbox.n.01,,,
piercing,pierce.v.01,,1,
squirrel,squirrel.n.01,,,
can_opener,can_opener.n.01,,,
loaf,loaf_of_bread.n.01,,,
pizza_tray,NF,,,manual
pizza_slices,NF,,,manual
desktop_computer,desktop_computer.n.01,,,
pantry,pantry.n.01,,1,
bakery,bakery.n.01,,1,
tuna,tuna.n.01,,,
dumpling,dumpling.n.01,,,
dish_drainer,NF,,1,
seafood,seafood.n.01,,,
baking_pan,NF,,,manual
auditorium,auditorium.n.01,,,
parmesan_cheese,NF,parmesan.n.01,,
orchid,orchid.n.01,,,
blackberry,blackberry.n.01,,,
lily,lily.n.01,,,
trumpet,cornet.n.01,,,
wii_game,NF,,,manual
picnic_tables,NF,,,manual
turtle,turtleneck.n.01,,,
sticky_notes,NF,,1,
daughter,daughter.n.01,,1,
pocket_watch,pocket_watch.n.01,,,
hospital,hospital.n.01,,,
dream_catcher,NF,,1,
bread_box,NF,,1,
pecan,pecan.n.01,,,
baker,baker.n.01,,,
peacock,peacock.n.01,,,
dry-erase_board,NF,,,manual
ice_cube,ice_cube.n.01,,,
food_processor,food_processor.n.01,,,
lounge,sofa.n.01,,,
action_figure,NF,,,manual
snow_shoes,NF,,,manual
hotdog_bun,frankfurter_bun.n.01,,,
bartender,bartender.n.01,,,
champagne,champagne.n.01,,,
cooking_utensil,cooking_utensil.n.01,,,
gadget,appliance.n.01,,1,
rice_cooker,NF,,,manual
wedding,wedding.n.01,,1,
chess_piece,chessman.n.01,,1,
stew,fret.n.01,stew.n.02,,
banana_bunches,NF,,1,
pork,pork.n.01,,,
monster,monster.n.01,,1,
popcorn,popcorn.n.01,,,
milkshake,milkshake.n.01,,,
pasta_salad,pasta_salad.n.01,,,
palace,palace.n.01,,,
lemonade,lemonade.n.01,,,
cotton_candy,cotton_candy.n.01,,,
bomb,bomb.n.01,,1,
napkin_dispenser,NF,,1,
crab,crab.n.01,,,
shaving_cream,shaving_cream.n.01,,,
snow_flakes,NF,,1,
rifle,rifle.n.01,,,
coffee_cups,coffee_cup.n.01,,,
cake_stand,NF,,,manual
fisherman,fisherman.n.01,,,
shuttle,shuttlecock.n.01,,1,
cheetah,cheetah.n.01,,,
picnic,field_day.n.04,,1,
swimmer,swimmer.n.01,,,
flatbread,flatbread.n.01,,,
angry_bird,NF,,4,toy?
pill,pill.n.01,,,
chickpea,chickpea.n.01,,,
sweet_potatoes,NF,sweet_potato.n.02,,
cotton_dessert,NF,,1,
cookie_jar,cookie_jar.n.01,,,
gorilla,gorilla.n.01,,,
stir_fry,stir_fry.v.01,,,
caramel,caramel.n.01,,,
towel_dispenser,NF,,1,
baked_good,NF,,1,
son,son.n.01,,1,
pizza_oven,NF,,,manual
bee,bee.n.01,,,
gummy_bear,NF,,,manual
farmer,farmer.n.01,,,
cookie_dough,NF,,1,
wolf,wolf.n.01,wolf.n.03,,
moose,elk.n.01,,,
casserole,casserole.n.01,,,
pesto,pesto.n.01,,,
chocolate_chips,NF,,1,
waiter,waiter.n.01,,,
utensil_holder,NF,,1,
cinnamon,cinnamon.n.01,,,
beer_cans,beer_can.n.01,,,
coffee_beans,coffee_bean.n.01,,,
poodle,poodle.n.01,,,
office_supplies,NF,,1,
shopping_center,plaza.n.02,,,
theater,theater.n.01,,,
soft_drink,soft_drink.n.01,,,
egg_roll,egg_roll.n.01,,,
hand_dryer,NF,,,manual
orchard,grove.n.02,,,
potato_salad,potato_salad.n.01,,,
chicken_breast,NF,,,manual
robot,automaton.n.02,,,
lobby,anteroom.n.01,,,
bar_stools,NF,,,manual
life_jackets,life_jacket.n.01,,,
gym,gymnasium.n.02,,,
riding_boots,riding_boot.n.01,,,
roast_beef,beef_roast.n.01,,,
grocery,grocery_store.n.01,,,
bird_house,NF,,1,
hairbrush,hairbrush.n.01,,,
cake_pan,NF,,,manual
cemetery,cemetery.n.01,,,
elmo,NF,,4,toy?
lizard,lizard.n.01,,1,
baseball_bats,baseball_bat.n.01,,,
cheeseburger,cheeseburger.n.01,,,
pizza_pie,pizza.n.01,,,
food_container,NF,,,manual
cookbook,cookbook.n.01,,,
dog_food,dog_food.n.01,,,
cafeteria,cafeteria.n.01,,,
school,school.n.01,,,
taco,greaser.n.01,taco.n.02,,
anchovy,anchovy.n.01,,,
mint,batch.n.02,,,
attic,loft.n.02,,,
waitress,waitress.n.01,,,
buffet,buffet.n.01,,,
armor,armor.n.01,,,
whale,giant.n.04,whale.n.02,,
granola,granola.n.01,,,
pub,public_house.n.01,,,
egg_white,egg_white.n.01,,,
soap_dispensers,soap_dispenser.n.01,,,
coral,coral.n.01,,,
beetle,beetle.n.01,,,
french_toast,french_toast.n.01,,,
smoothie,smoothie.n.01,,,
oatmeal,oatmeal.n.01,,,
hummus,hummus.n.01,,,
pizza_boxes,NF,,,manual
vinegar,vinegar.n.01,,,
pita,pita.n.01,,,
swamp,swamp.n.01,,,
sugar_packet,NF,,1,
kimono,kimono.n.01,,,
weapon,weapon.n.01,,1,too hypernymy alraedy
vanilla,vanilla.n.01,,,
snow_shoe,NF,,,manual
oreo,oreo.n.01,,,
amusement_park,amusement_park.n.01,,,
fudge,fudge.n.01,,,
ginger,ginger.n.01,,,
coffee_shop,cafe.n.01,,,
wii_controllers,NF,,,manual
leopard,leopard.n.01,leopard.n.02,,
egg_carton,NF,,,manual
performer,performer.n.01,,,
nutella,NF,,,manual
wardrobe,wardrobe.n.01,,,
lab_coat,lab_coat.n.01,,,
ice-cream_cone,ice-cream_cone.n.01,,,
salon,salon.n.01,,,
pistachio,pistachio.n.01,,,
cappuccino,cappuccino.n.01,,,
dragonfly,dragonfly.n.01,,,
wok,wok.n.01,,,
mexican_food,NF,,1,
juice_box,NF,,1,
gourd,gourd.n.01,,,
boar,wild_boar.n.01,,,
supermarket,supermarket.n.01,,,
guest,guest.n.01,,1,
stuffed_bears,NF,,4,toy?
pudding,pudding.n.01,,,
entree,entree.n.01,,,
xbox_controller,NF,,,manual
lunch_box,NF,,,manual
kangaroo,kangaroo.n.01,,,
hibiscus,hibiscus.n.01,,,
pizza_shop,pizzeria.n.01,,,
beer_mug,beer_mug.n.01,,,
snail,snail.n.01,,,
snoopy,snoopy.n.01,,,
serving_dish,serving_dish.n.01,,,
soccer_balls,soccer_ball.n.01,,,
ravioli,ravioli.n.01,,,
bread_loaf,NF,loaf.n.01,,
vitamin,vitamin.n.01,,,
cooking_oil,cooking_oil.n.01,,,
citrus,citrus.n.01,,,
food_trucks,NF,,,manual
lavender,lavender.n.01,,,
nightstands,NF,,,manual
sporting_equipment,NF,,1,
pikachu,NF,,4,toy?
mouse,mouse.n.01,,,
dvd_players,NF,cd_player.n.01,,
fire_trucks,fire_engine.n.01,,,
panda_bears,giant_panda.n.01,,,
right,right.n.01,,1,
left,left.n.01,,1,
Are,are.n.01,,1,
image,image.n.01,,1,
color,color.n.01,,1,
photo,photograph.n.01,,,
side,side.n.01,,1,
look,expression.n.01,,1,
furniture,furniture.n.01,,1,too hypernymy already
top,top.n.01,,1,
bottom,bottom.n.01,,1,
scene,scene.n.01,,1,
front,front.n.01,,1,
photograph,photograph.n.01,,,
wood,wood.n.01,,1,
kind,kind.n.01,,1,
part,part.n.01,,1,
blue,blue.n.01,,1,
piece,piece.n.01,,1,
metal,metallic_element.n.01,,,
type,type.n.01,,1,
outdoors,outdoors.n.01,,1,
tennis,tennis.n.01,,,
traffic,traffic.n.01,,1,
light,light.n.01,,1,
hydrant,water_faucet.n.01,,,
item,item.n.01,,1,
middle,center.n.01,,1,
brown,brown.n.01,,1,
Which,NF,,1,
clothing,clothing.n.01,,1,ngha; too hypernymy already
silver,silver.n.01,,1,
plastic,plastic.n.01,,1,
size,size.n.01,,1,
indoors,inside.r.01,,1,
trouser,trouser.n.01,,,
cell,cell.n.01,,2,"could be many things, best remove"
control,control.n.01,,1,
kid,child.n.01,,,
cloudy,cloudy.s.01,,1,
round,round.n.01,,1,
plane,airplane.n.01,,,
pad,pad.n.01,,2,could be many things
center,center.n.01,,1,
TV,television.n.01,television.n.03,,
motorbike,minibike.n.01,,,??
board,board.n.01,,1,
place,topographic_point.n.01,,1,
name,name.n.01,,1,
material,material.n.01,,1,
gray,gray.n.01,,1,
blond,blond.n.01,,1,
SUV,sport_utility.n.01,,,
telephone,telephone.n.01,,,
green,green.n.01,,1,
weather,weather.n.01,,1,
fridge,electric_refrigerator.n.01,,,
freezer,deep-freeze.n.01,,,
dark,dark.n.01,,1,
shaker,shaker.n.01,,1,
pine,pine.n.01,,,tree?
garbage,garbage.n.01,,1,
watercraft,watercraft.n.01,,1,too hypernymy already
remote,remote_control.n.01,,,
pink,pink.n.01,,1,
palm,palm.n.01,,2,bp; too many things
bin,bin.n.01,,,
cooking,cooking.n.01,,1,
gold,gold.n.01,,1,
cellphone,cellular_telephone.n.01,,,
Wii,NF,,,manual
length,length.n.01,,1,
safety,safety.n.01,,1,
wooden,wooden.s.01,,1,
tall,tall.n.01,,1,
meter,meter.n.01,,1,
slice,slice.n.01,,1,
tap,pat.n.01,,1,
steel,steel.n.01,,1,
purple,purple.n.01,,1,
metallic,metallic.n.01,,1,
soccer,soccer.n.01,,1,
tan,tan.n.01,,1,
bulb,bulb.n.01,,,
yellow,yellow.n.01,,1,
cab,cab.n.01,,,
parking,parking.n.01,,1,
leather,leather.n.01,,,
shape,shape.n.01,,1,
stop,stop.n.01,,1,contextual
end,end.n.01,,1,
wearing,erosion.n.01,,1,
life,life.n.01,,1,
square,square.n.01,,,
necktie,necktie.n.01,,,
cube,cube.n.01,,,
surf,surf.n.01,,1,
maker,maker.n.01,,1,
veggie,vegetable.n.01,,,
wet,moisture.n.01,,1,
shopping,shopping.n.01,,1,
doughnut,ring.n.02,,1,
Was,washington.n.02,,1,
appear,look.v.02,,1,
tank,tank.n.01,,,
extinguisher,fire_extinguisher.n.01,,,
CDs,cadmium.n.01,compact_disc.n.01,,
dirty,dirty.v.01,,1,
stand,base.n.08,stand.n.04,2,can also be stand.n.05
stuffed,stuff.v.01,,1,
knee,knee.n.01,,3,bp
pattern,form.n.03,,1,
walk,walk.n.01,,1,
signal,signal.n.01,,1,
gender,gender.n.01,,1,
adult,adult.n.01,,,
tub,bathtub.n.01,,,
object,object.n.01,,1,too hypernymy already
wear,wear.n.01,,1,
lot,batch.n.02,,,
DVD,videodisk.n.01,,,
alarm,alarm.n.01,,,
shrub,shrub.n.01,,,
tshirt,NF,jersey.n.03,,
concrete,concrete.n.01,,,
placemats,NF,table_mat.n.01,,
cloudless,cloudless.s.01,,1,
tee,tee.n.01,tee.n.03,,unsure if golf tee or football tee
mousepad,mousepad.n.01,,,
made,make.v.01,,1,
standing,standing.n.01,,1,
thick,midst.n.01,,1,
bar,barroom.n.01,,1,
height,height.n.01,,1,
cardboard,cardboard.n.01,,,
porcelain,porcelain.n.01,,,
cement,cement.n.01,,,
entertainment,entertainment.n.01,,1,
bath,bath.n.01,,,
stool,stool.n.01,,,
block,block.n.01,,,
cash,cash.n.01,,,
register,register.n.01,,,
living,life.n.02,,1,
specie,coinage.n.01,,1,
drapery,curtain.n.01,,,
stainless,stainless_steel.n.01,,1,
trashcan,NF,trash_can.n.01,,
calm,composure.n.01,,1,
band,set.n.05,,,
bare,bare.v.01,,1,
walking,walk.n.01,,1,
thing,thing.n.01,,1,
clip,cartridge_holder.n.01,,2,can be hairclip and some other clip??
track,path.n.04,,,
waste,waste.n.01,,,
drainers,NF,,1,
spray,spray.n.01,,,
today,today.n.01,,1,
washer,washer.n.01,,,
wineglass,wineglass.n.01,,,
TVs,television.n.01,television.n.03,,
beige,beige.n.01,,1,
maroon,maroon.n.01,,1,
visible,visible.a.01,,1,
chess,chess.n.01,,,
wetsuits,NF,wet_suit.n.01,,
dream,dream.n.01,,1,
iron,iron.n.01,,1,
playing,playing.n.01,,1,
police,police.n.01,,1,can be one or multiple
dining,dining.n.01,,1,
oar,oar.n.01,,,
conditioner,conditioner.n.01,,,
engine,engine.n.01,,1,too vague
overcast,cloudiness.n.01,,1,
rectangular,rectangular.s.01,,1,
brunette,brunet.n.01,,,
grassy,grassy.a.01,,1,
seem,look.v.02,,1,
snowy,white.s.04,,1,
gas,gas.n.01,,1,
colorful,colorful.a.01,,1,
sit,sit.v.01,,1,
wicker,wicker.n.01,,,
sunny,cheery.s.01,,1,
marble,marble.n.01,,,
cover,screen.n.04,,,
observable,discernible.s.03,,1,
clean,clean_and_jerk.n.01,,1,
tone,tone.n.01,,1,
bikers,rockers.n.01,biker.n.01,,
quilt,quilt.n.01,,,
leafy,leafy.a.01,,1,
holding,retention.n.01,,1,
cobblestone,cobble.n.01,,1,
pier,pier.n.01,,,
lying,lying.n.01,,1,
rubber,rubber.n.01,,,
license,license.n.01,,1,
bright,bright.a.01,,1,
sandy,flaxen.s.01,,1,
eating,eating.n.01,,1,
folding,protein_folding.n.01,,1,
dry,dry.n.01,,1,
granite,granite.n.01,,,
ripe,ripe.a.01,,1,
male,male.n.01,,,
article,article.n.01,,1,
eyeglass,monocle.n.01,,,
motorcyclist,motorcyclist.n.01,,,
drive,drive.n.01,,1,
Xbox,NF,,,manual
CD,cadmium.n.01,,,
sad,sad.a.01,,1,
video,video.n.01,,1,
scrub,scrub.n.01,,,
hang,bent.n.04,,1,
shade,shade.n.01,,1,
polo,polo.n.01,,1,game vs. t-shirt
rainy,showery.s.01,,1,
bicyclist,cyclist.n.01,,,
vintage,vintage.n.01,,1,
stormy,stormy.a.01,,1,
jumping,jumping.n.01,,1,
beautiful,beautiful.a.01,,1,
mesh,mesh.n.01,,1,
murky,cloudy.s.03,,1,
tv,television.n.01,television.n.03,,
hardwood,hardwood.n.01,,,
empty,empty.n.01,,1,
pool,pool.n.01,,,
sleeveless,sleeveless.a.01,,1,
chrome,chrome.n.01,,,
hotdog,hotdog.n.01,,,
case,case.n.01,,,
antique,old-timer.n.02,antique.n.02,,
sits,sit.v.01,,1,
spread,spread.n.01,spread.n.05,,
flop,floating-point_operation.n.01,,1,
flip,somersault.n.01,,1,
switch,switch.n.01,,,
gull,chump.n.01,,1,
foggy,dazed.s.02,,1,
showing,screening.n.01,,1,
power,power.n.01,,1,
condition,condition.n.01,,1,
elbow,elbow.n.01,,3,bp
rocky,rocky.s.01,,1,
wavy,wavy.s.01,,1,
fat,fat.n.01,,1,
drinking,drinking.n.01,,1,
lace,lace.n.01,,,
aluminum,aluminum.n.01,,,
asphalt,asphalt.n.01,,,
Nike,nike.n.01,,1,
kayak,kayak.n.01,,,
female,female.n.01,,,
behind,buttocks.n.01,,1,
dry-erase,NF,,1,
riding,riding.n.01,,1,
back,back.n.01,,1,
Adidas,NF,,1,
action,action.n.01,,1,
thin,thin.v.01,,1,
hold,clasp.n.02,,1,
skiing,skiing.n.01,,1,
contain,incorporate.v.02,,1,
rough,rough.n.01,,1,
skinny,skinny.n.01,,1,
chop,chop.n.01,,1,
watching,observation.n.02,,1,
good,good.n.01,,1,
lush,alcoholic.n.01,,1,
copper,copper.n.01,,,
cutting,film_editing.n.01,,1,
ride,drive.n.08,,1,
sitting,sitting.n.01,,1,
line,line.n.01,,1,
Styrofoam,styrofoam.n.01,,,
breast,breast.n.01,,3,bp
hippoes,NF,hippo.n.02,,
driving,drive.n.06,,1,
medicine,medicine.n.01,,1,
vending,vending.n.01,,1,
reading,reading.n.01,,1,
cotton,cotton.n.01,,,
clay,clay.n.01,,,
sleeved,sleeved.a.01,,1,
Asian,asian.n.01,,1,
surfing,surfing.n.01,,1,
streetlight,streetlight.n.01,,,
burritoes,NF,burrito.n.01,,
serving,helping.n.01,,1,
mom,ma.n.01,,1,
triangular,triangular.s.01,,1,
edge,edge.n.01,,1,
wreath,wreath.n.01,,,
bending,bending.n.01,,1,
hanging,hanging.n.01,,1,
Cola,cola.n.01,,,
narrow,narrow.n.01,,1,
teddy,teddy.n.01,,,
have,rich_person.n.01,,1,
denim,jean.n.01,,,
flavor,spirit.n.02,,1,
Coke,coke.n.01,coke.n.03,,
represent,represent.v.01,,1,
skate,skate.n.01,,,
teal,bluish_green.n.01,,1,
lie,lie.n.01,,1,
carrying,transport.v.02,,1,
tacoes,NF,taco.n.01,,
resting,rest.v.01,,1,
trick,trick.n.01,,1,
dense,dense.s.01,,1,
drainer,NF,,1,
fixture,fixture.n.01,,,
condiment,condiment.n.01,,,
Pikachu,NF,,4,toy?
lift,lift.n.01,,,
swimming,swimming.n.01,,1,
skateboarding,skateboarding.n.01,,1,
lit,literature.n.02,,1,
decker,dekker.n.01,,1,
inside,inside.n.01,,,
bud,bud.n.01,,,
desktop,desktop.n.01,,,
tin,tin.n.01,,,
brass,brass.n.01,,,
sparse,sparse.s.01,,1,
rainbow,rainbow.n.01,,,
shallow,shoal.n.02,,1,
Coca,erythroxylon_coca.n.01,,1,
day,day.n.01,,,
blonde,blond.n.01,,,
coca-cola,NF,coke.n.03,,
ice-cream,NF,icecream.n.01,,
snowpants,NF,,,manual
bald,bald.v.01,,1,
unripe,green.a.03,,1,
American,american.n.01,,1,
weight,weight.n.01,,1,
sleeping,sleeping.n.01,,1,
width,width.n.01,,1,
striped,stripe.v.01,,1,
posing,sitting.n.01,,1,
leafless,leafless.a.01,,1,
crocodile,crocodile.n.01,,,
Caucasian,white.n.01,,1,
crouching,crouch.v.01,,1,
beside,NF,,1,
avocadoes,NF,avocado.n.01,,
DVDs,videodisk.n.01,,,
work,work.n.01,,1,
nike,nike.n.01,,1,
rotten,icky.s.01,,1,
cutter,stonecutter.n.01,,1,
smooth,smooth.n.01,,1,
powerlines,NF,,1,
bathing,bathing.n.01,,1,
beneath,below.r.01,,1,
shut,close.v.01,,1,
litter,litter.n.01,,1,
meeting,meeting.n.01,,1,
furry,furred.s.01,,1,
holder,holder.n.01,,,
running,run.n.05,,1,
bushy,bushy.s.01,,1,
mitt,hand.n.01,mitt.n.02,,
logoes,NF,logo.n.01,,
pianoes,NF,piano.n.01,,
staring,gaze.v.01,,1,
company,company.n.01,,1,
powerline,NF,,1,
dad,dad.n.01,,1,
barefoot,barefoot.s.01,,1,
talk,talk.n.01,,1,
depth,depth.n.01,,1,
cut,cut.n.01,,1,contextual
pulling,pull.n.01,,1,
swing,swing.n.01,,,
crystal,crystal.n.01,,1,
lean,tilt.n.04,,1,
khaki,khaki.n.01,,,
tiny,bantam.s.01,,1,
sweet,sweet.n.01,,1,
seasoning,flavorer.n.01,,,
carry,carry.n.01,,1,
venue,venue.n.01,,1,
art,art.n.01,,1,
Pokemon,NF,,4,toy
bronze,bronze.n.01,,1,
roast,roast.n.01,,1,
giant,giant.n.01,,1,
skating,skating.n.01,,1,
ceramic,ceramic.n.01,,,
jump,jump.n.01,,1,
washing,wash.n.02,,1,
swim,swimming.n.01,,1,
stir,stir.n.01,,1,
skatepark,NF,,1,
straight,heterosexual.n.01,,1,
choppy,choppy.s.01,,1,
