lemma,singular,plural,article,taxonomic_phrase,novel_property_is,novel_property_have,generic,remove
donut,donut,donuts,a donut,are a type of,donuts are daxable.,donuts have daxes.,p,NA
house,NA,NA,NA,NA,NA,NA,NA,NA
bicycle,NA,NA,NA,NA,NA,NA,NA,NA
guy,NA,NA,NA,NA,NA,NA,NA,NA
flower,flower,flowers,a flower,are a type of,flowers are daxable.,flowers have daxes.,p,NA
feline,NA,NA,NA,NA,NA,NA,NA,NA
stalk,NA,NA,NA,NA,NA,NA,NA,NA
package,NA,NA,NA,NA,NA,NA,NA,NA
magnet,NA,NA,NA,NA,NA,NA,NA,NA
amphibian,NA,NA,NA,NA,NA,NA,NA,NA
paper,paper,papers,paper,is a type of,paper is daxable.,paper has daxes.,s,NA
glass,glass,glasses,a glass,are a type of,glasses are daxable.,glasses have daxes.,p,NA
skateboarder,NA,NA,NA,NA,NA,NA,NA,NA
artwork,NA,NA,NA,NA,NA,NA,NA,NA
game,game,games,a game,are a type of,games are daxable.,games have daxes.,p,NA
writing tool,NA,NA,NA,NA,NA,NA,NA,NA
receptacle,NA,NA,NA,NA,NA,NA,NA,NA
glove,glove,gloves,a glove,are a type of,gloves are daxable.,gloves have daxes.,p,NA
bird,bird,birds,a bird,are a type of,birds are daxable.,birds have daxes.,p,NA
way,NA,NA,NA,NA,NA,NA,NA,NA
bedspread,NA,NA,NA,NA,NA,NA,NA,NA
sponge,NA,NA,NA,NA,NA,NA,NA,NA
cutlery,NA,NA,NA,NA,NA,NA,NA,NA
tube,NA,NA,NA,NA,NA,NA,NA,NA
biker,NA,NA,NA,NA,NA,NA,NA,NA
puddle,NA,NA,NA,NA,NA,NA,NA,NA
broom,broom,brooms,a broom,are a type of,brooms are daxable.,brooms have daxes.,p,NA
knife,knife,knives,a knife,are a type of,knives are daxable.,knives have daxes.,p,NA
neckwear,NA,NA,NA,NA,NA,NA,NA,NA
platter,NA,NA,NA,NA,NA,NA,NA,NA
skirt,skirt,skirts,a skirt,are a type of,skirts are daxable.,skirts have daxes.,p,NA
wristband,NA,NA,NA,NA,NA,NA,NA,NA
spoon,spoon,spoons,a spoon,are a type of,spoons are daxable.,spoons have daxes.,p,NA
root vegetable,NA,NA,NA,NA,NA,NA,NA,NA
mixer,mixer,mixers,a mixer,are a type of,mixers are daxable.,mixers have daxes.,p,NA
tabletop,NA,NA,NA,NA,NA,NA,NA,NA
desk,desk,desks,a desk,are a type of,desks are daxable.,desks have daxes.,p,NA
soil,NA,NA,NA,NA,NA,NA,NA,NA
cookie,cookie,cookies,a cookie,are a type of,cookies are daxable.,cookies have daxes.,p,NA
can,can,cans,a can,are a type of,cans are daxable.,cans have daxes.,p,NA
cleaning tool,NA,NA,NA,NA,NA,NA,NA,NA
cart,cart,carts,a cart,are a type of,carts are daxable.,carts have daxes.,p,NA
case,NA,NA,NA,NA,NA,NA,NA,NA
keyboard instrument,NA,NA,NA,NA,NA,NA,NA,NA
ball,ball,balls,a ball,are a type of,balls are daxable.,balls have daxes.,p,NA
footwear,footwear,footwears,footwear,is a type of,footwear is daxable.,footwear has daxes.,s,NA
tableware,NA,NA,NA,NA,NA,NA,NA,NA
instrument,instrument,instruments,an instrument,are a type of,instruments are daxable.,instruments have daxes.,p,NA
antelope,antelope,antelopes,an antelope,are a type of,antelopes are daxable.,antelopes have daxes.,p,NA
fruit,fruit,fruits,a fruit,are a type of,fruits are daxable.,fruits have daxes.,p,NA
structure,NA,NA,NA,NA,NA,NA,NA,NA
tunnel,NA,NA,NA,NA,NA,NA,NA,NA
water vehicle,water vehicle,water vehicles,a water vehicle,are a type of,water vehicles are daxable.,water vehicles have daxes.,p,NA
owl,owl,owls,an owl,are a type of,owls are daxable.,owls have daxes.,p,NA
animal food,NA,NA,NA,NA,NA,NA,NA,NA
light fixture,NA,NA,NA,NA,NA,NA,NA,NA
lettuce,lettuce,lettuces,a lettuce,is a type of,a lettuce is daxable.,a lettuce has daxes.,s,NA
television,television,televisions,a television,are a type of,televisions are daxable.,televisions have daxes.,p,NA
sculpture,NA,NA,NA,NA,NA,NA,NA,NA
brush,brush,brushes,a brush,are a type of,brushes are daxable.,brushes have daxes.,p,NA
dock,NA,NA,NA,NA,NA,NA,NA,NA
tomato,tomato,tomatoes,a tomato,are a type of,tomatoes are daxable.,tomatoes have daxes.,p,NA
shoe,shoe,shoes,a shoe,are a type of,shoes are daxable.,shoes have daxes.,p,NA
protective garment,NA,NA,NA,NA,NA,NA,NA,NA
bird of prey,NA,NA,NA,NA,NA,NA,NA,NA
produce,produce,produce,produce,is a type of,produce is daxable.,produce has daxes.,s,NA
cereal,cereal,cereals,a cereal,are a type of,cereals are daxable.,cereals have daxes.,p,NA
hat,hat,hats,a hat,are a type of,hats are daxable.,hats have daxes.,p,NA
airplane,airplane,airplanes,an airplane,are a type of,airplanes are daxable.,airplanes have daxes.,p,NA
heating element,NA,NA,NA,NA,NA,NA,NA,NA
pineapple,pineapple,pineapples,a pineapple,are a type of,pineapples are daxable.,pineapples have daxes.,p,NA
entrance,NA,NA,NA,NA,NA,NA,NA,NA
pencil,pencil,pencils,a pencil,are a type of,pencils are daxable.,pencils have daxes.,p,NA
work surface,NA,NA,NA,NA,NA,NA,NA,NA
domestic fowl,NA,NA,NA,NA,NA,NA,NA,NA
watch,watch,watches,a watch,are a type of,watches are daxable.,watches have daxes.,p,NA
comforter,NA,NA,NA,NA,NA,NA,NA,NA
church,NA,NA,NA,NA,NA,NA,NA,NA
passageway,NA,NA,NA,NA,NA,NA,NA,NA
waste,NA,NA,NA,NA,NA,NA,NA,NA
blind,NA,NA,NA,NA,NA,NA,NA,NA
cage,cage,cages,a cage,are a type of,cages are daxable.,cages have daxes.,p,NA
lemon,lemon,lemons,a lemon,are a type of,lemons are daxable.,lemons have daxes.,p,NA
station,NA,NA,NA,NA,NA,NA,NA,NA
earth,NA,NA,NA,NA,NA,NA,NA,NA
microwave,microwave,microwaves,a microwave,are a type of,microwaves are daxable.,microwaves have daxes.,p,NA
jar,jar,jars,a jar,are a type of,jars are daxable.,jars have daxes.,p,NA
insect,insect,insects,an insect,are a type of,insects are daxable.,insects have daxes.,p,NA
scarf,scarf,scarves,a scarf,are a type of,scarves are daxable.,scarves have daxes.,p,NA
lady,NA,NA,NA,NA,NA,NA,NA,NA
taxi,taxi,taxis,a taxi,are a type of,taxis are daxable.,taxis have daxes.,p,NA
cathedral,NA,NA,NA,NA,NA,NA,NA,NA
container,container,containers,a container,are a type of,containers are daxable.,containers have daxes.,p,NA
pizza,pizza,pizzas,a pizza,are a type of,pizzas are daxable.,pizzas have daxes.,p,NA
arrangement,NA,NA,NA,NA,NA,NA,NA,NA
meat,meat,meats,meat,is a type of,meat is daxable.,meat has daxes.,s,NA
citrus fruit,NA,NA,NA,NA,NA,NA,NA,NA
top,NA,NA,NA,NA,NA,NA,NA,NA
