noun,sense
lily,lily.n.01
trumpet,cornet.n.01
wii_game,NF
picnic_tables,NF
turtle,turtleneck.n.01
sticky_notes,NF
daughter,daughter.n.01
pocket_watch,pocket_watch.n.01
hospital,hospital.n.01
dream_catcher,NF
bread_box,NF
pecan,pecan.n.01
baker,baker.n.01
peacock,peacock.n.01
dry-erase_board,NF
ice_cube,ice_cube.n.01
food_processor,food_processor.n.01
lounge,sofa.n.01
action_figure,NF
snow_shoes,NF
hotdog_bun,frankfurter_bun.n.01
bartender,bartender.n.01
champagne,champagne.n.01
cooking_utensil,cooking_utensil.n.01
gadget,appliance.n.01
rice_cooker,NF
wedding,wedding.n.01
chess_piece,chessman.n.01
stew,fret.n.01
banana_bunches,NF
pork,pork.n.01
monster,monster.n.01
popcorn,popcorn.n.01
milkshake,milkshake.n.01
pasta_salad,pasta_salad.n.01
palace,palace.n.01
lemonade,lemonade.n.01
cotton_candy,cotton_candy.n.01
bomb,bomb.n.01
napkin_dispenser,NF
crab,crab.n.01
shaving_cream,shaving_cream.n.01
snow_flakes,NF
rifle,rifle.n.01
coffee_cups,coffee_cup.n.01
cake_stand,NF
fisherman,fisherman.n.01
shuttle,shuttlecock.n.01
cheetah,cheetah.n.01
picnic,field_day.n.04
swimmer,swimmer.n.01
flatbread,flatbread.n.01
angry_bird,NF
pill,pill.n.01
chickpea,chickpea.n.01
sweet_potatoes,NF
cotton_dessert,NF
cookie_jar,cookie_jar.n.01
gorilla,gorilla.n.01
stir_fry,stir_fry.v.01
caramel,caramel.n.01
towel_dispenser,NF
baked_good,NF
son,son.n.01
pizza_oven,NF
bee,bee.n.01
gummy_bear,NF
farmer,farmer.n.01
cookie_dough,NF
wolf,wolf.n.01
moose,elk.n.01
casserole,casserole.n.01
pesto,pesto.n.01
chocolate_chips,NF
waiter,waiter.n.01
utensil_holder,NF
cinnamon,cinnamon.n.01
beer_cans,beer_can.n.01
coffee_beans,coffee_bean.n.01
poodle,poodle.n.01
office_supplies,NF
shopping_center,plaza.n.02
theater,theater.n.01
soft_drink,soft_drink.n.01
egg_roll,egg_roll.n.01
hand_dryer,NF
orchard,grove.n.02
potato_salad,potato_salad.n.01
chicken_breast,pigeon_breast.n.01
robot,automaton.n.02
lobby,anteroom.n.01
bar_stools,NF
life_jackets,life_jacket.n.01
gym,gymnasium.n.02
riding_boots,riding_boot.n.01
roast_beef,beef_roast.n.01
grocery,grocery_store.n.01
bird_house,NF
hairbrush,hairbrush.n.01
cake_pan,NF
cemetery,cemetery.n.01
elmo,NF
lizard,lizard.n.01
baseball_bats,baseball_bat.n.01
cheeseburger,cheeseburger.n.01
pizza_pie,pizza.n.01
food_container,NF
cookbook,cookbook.n.01
dog_food,dog_food.n.01
cafeteria,cafeteria.n.01
school,school.n.01
taco,greaser.n.01
anchovy,anchovy.n.01
mint,batch.n.02
attic,loft.n.02
waitress,waitress.n.01
buffet,buffet.n.01
armor,armor.n.01
whale,giant.n.04
granola,granola.n.01
pub,public_house.n.01
egg_white,egg_white.n.01
soap_dispensers,soap_dispenser.n.01
coral,coral.n.01
beetle,beetle.n.01
french_toast,french_toast.n.01
smoothie,smoothie.n.01
oatmeal,oatmeal.n.01
hummus,hummus.n.01
pizza_boxes,NF
vinegar,vinegar.n.01
pita,pita.n.01
swamp,swamp.n.01
sugar_packet,NF
kimono,kimono.n.01
weapon,weapon.n.01
vanilla,vanilla.n.01
snow_shoe,NF
oreo,oreo.n.01
amusement_park,amusement_park.n.01
fudge,fudge.n.01
ginger,ginger.n.01
coffee_shop,cafe.n.01
wii_controllers,NF
leopard,leopard.n.01
egg_carton,NF
performer,performer.n.01
nutella,NF
wardrobe,wardrobe.n.01
lab_coat,lab_coat.n.01
ice-cream_cone,ice-cream_cone.n.01
salon,salon.n.01
pistachio,pistachio.n.01
cappuccino,cappuccino.n.01
dragonfly,dragonfly.n.01
wok,wok.n.01
mexican_food,NF
juice_box,NF
gourd,gourd.n.01
boar,wild_boar.n.01
supermarket,supermarket.n.01
guest,guest.n.01
stuffed_bears,NF
pudding,pudding.n.01
entree,entree.n.01
xbox_controller,NF
lunch_box,NF
kangaroo,kangaroo.n.01
hibiscus,hibiscus.n.01
pizza_shop,pizzeria.n.01
beer_mug,beer_mug.n.01
snail,snail.n.01
snoopy,snoopy.n.01
serving_dish,serving_dish.n.01
soccer_balls,soccer_ball.n.01
ravioli,ravioli.n.01
bread_loaf,NF
vitamin,vitamin.n.01
cooking_oil,cooking_oil.n.01
citrus,citrus.n.01
food_trucks,NF
lavender,lavender.n.01
nightstands,NF
sporting_equipment,NF
pikachu,NF
mouse,mouse.n.01
dvd_players,NF
fire_trucks,fire_engine.n.01
panda_bears,giant_panda.n.01
right,right.n.01
left,left.n.01
Are,are.n.01
image,image.n.01
color,color.n.01
photo,photograph.n.01
side,side.n.01
look,expression.n.01
furniture,furniture.n.01
top,top.n.01
bottom,bottom.n.01
scene,scene.n.01
front,front.n.01
photograph,photograph.n.01
wood,wood.n.01
kind,kind.n.01
part,part.n.01
blue,blue.n.01
piece,piece.n.01
metal,metallic_element.n.01
type,type.n.01
outdoors,outdoors.n.01
tennis,tennis.n.01
traffic,traffic.n.01
light,light.n.01
hydrant,water_faucet.n.01
item,item.n.01
middle,center.n.01
brown,brown.n.01
Which,NF
clothing,clothing.n.01
silver,silver.n.01
plastic,plastic.n.01
size,size.n.01
indoors,inside.r.01
trouser,trouser.n.01
cell,cell.n.01
control,control.n.01
kid,child.n.01
cloudy,cloudy.s.01
round,round.n.01
plane,airplane.n.01
pad,pad.n.01
center,center.n.01
TV,television.n.01
motorbike,minibike.n.01
board,board.n.01
place,topographic_point.n.01
name,name.n.01
material,material.n.01
gray,gray.n.01
blond,blond.n.01
SUV,sport_utility.n.01
telephone,telephone.n.01
green,green.n.01
weather,weather.n.01
fridge,electric_refrigerator.n.01
freezer,deep-freeze.n.01
dark,dark.n.01
shaker,shaker.n.01
pine,pine.n.01
garbage,garbage.n.01
watercraft,watercraft.n.01
remote,remote_control.n.01
pink,pink.n.01
palm,palm.n.01
bin,bin.n.01
cooking,cooking.n.01
gold,gold.n.01
cellphone,cellular_telephone.n.01
Wii,NF
length,length.n.01
safety,safety.n.01
wooden,wooden.s.01
tall,tall.n.01
meter,meter.n.01
slice,slice.n.01
tap,pat.n.01
steel,steel.n.01
purple,purple.n.01
metallic,metallic.n.01
soccer,soccer.n.01
tan,tan.n.01
bulb,bulb.n.01
yellow,yellow.n.01
cab,cab.n.01
parking,parking.n.01
leather,leather.n.01
shape,shape.n.01
stop,stop.n.01
end,end.n.01
wearing,erosion.n.01
life,life.n.01
square,square.n.01
necktie,necktie.n.01
cube,cube.n.01
surf,surf.n.01
maker,maker.n.01
veggie,vegetable.n.01
wet,moisture.n.01
shopping,shopping.n.01
doughnut,ring.n.02
Was,washington.n.02
appear,look.v.02
tank,tank.n.01
extinguisher,fire_extinguisher.n.01
CDs,cadmium.n.01
dirty,dirty.v.01
stand,base.n.08
stuffed,stuff.v.01
knee,knee.n.01
pattern,form.n.03
walk,walk.n.01
signal,signal.n.01
gender,gender.n.01
adult,adult.n.01
tub,bathtub.n.01
object,object.n.01
wear,wear.n.01
lot,batch.n.02
DVD,videodisk.n.01
alarm,alarm.n.01
shrub,shrub.n.01
tshirt,NF
concrete,concrete.n.01
placemats,NF
cloudless,cloudless.s.01
tee,tee.n.01
mousepad,mousepad.n.01
made,make.v.01
standing,standing.n.01
thick,midst.n.01
bar,barroom.n.01
height,height.n.01
cardboard,cardboard.n.01
porcelain,porcelain.n.01
cement,cement.n.01
entertainment,entertainment.n.01
bath,bath.n.01
stool,stool.n.01
block,block.n.01
cash,cash.n.01
register,register.n.01
living,life.n.02
specie,coinage.n.01
drapery,curtain.n.01
stainless,stainless_steel.n.01
trashcan,NF
calm,composure.n.01
band,set.n.05
bare,bare.v.01
walking,walk.n.01
thing,thing.n.01
clip,cartridge_holder.n.01
track,path.n.04
waste,waste.n.01
drainers,NF
spray,spray.n.01
today,today.n.01
washer,washer.n.01
wineglass,wineglass.n.01
TVs,television.n.01
beige,beige.n.01
maroon,maroon.n.01
visible,visible.a.01
chess,chess.n.01
wetsuits,NF
dream,dream.n.01
iron,iron.n.01
playing,playing.n.01
police,police.n.01
dining,dining.n.01
oar,oar.n.01
conditioner,conditioner.n.01
engine,engine.n.01
overcast,cloudiness.n.01
rectangular,rectangular.s.01
brunette,brunet.n.01
grassy,grassy.a.01
seem,look.v.02
snowy,white.s.04
gas,gas.n.01
colorful,colorful.a.01
sit,sit.v.01
wicker,wicker.n.01
sunny,cheery.s.01
marble,marble.n.01
cover,screen.n.04
observable,discernible.s.03
clean,clean_and_jerk.n.01
tone,tone.n.01
bikers,rockers.n.01
quilt,quilt.n.01
leafy,leafy.a.01
holding,retention.n.01
cobblestone,cobble.n.01
pier,pier.n.01
lying,lying.n.01
rubber,rubber.n.01
license,license.n.01
bright,bright.a.01
sandy,flaxen.s.01
eating,eating.n.01
folding,protein_folding.n.01
dry,dry.n.01
granite,granite.n.01
ripe,ripe.a.01
male,male.n.01
article,article.n.01
eyeglass,monocle.n.01
motorcyclist,motorcyclist.n.01
drive,drive.n.01
Xbox,NF
CD,cadmium.n.01
sad,sad.a.01
video,video.n.01
scrub,scrub.n.01
hang,bent.n.04
shade,shade.n.01
polo,polo.n.01
rainy,showery.s.01
bicyclist,cyclist.n.01
vintage,vintage.n.01
stormy,stormy.a.01
jumping,jumping.n.01
beautiful,beautiful.a.01
mesh,mesh.n.01
murky,cloudy.s.03
tv,television.n.01
hardwood,hardwood.n.01
empty,empty.n.01
pool,pool.n.01
sleeveless,sleeveless.a.01
chrome,chrome.n.01
hotdog,hotdog.n.01
case,case.n.01
antique,old-timer.n.02
sits,sit.v.01
spread,spread.n.01
flop,floating-point_operation.n.01
flip,somersault.n.01
switch,switch.n.01
gull,chump.n.01
foggy,dazed.s.02
showing,screening.n.01
power,power.n.01
condition,condition.n.01
elbow,elbow.n.01
rocky,rocky.s.01
wavy,wavy.s.01
fat,fat.n.01
drinking,drinking.n.01
lace,lace.n.01
aluminum,aluminum.n.01
asphalt,asphalt.n.01
Nike,nike.n.01
kayak,kayak.n.01
female,female.n.01
behind,buttocks.n.01
dry-erase,NF
riding,riding.n.01
back,back.n.01
Adidas,NF
action,action.n.01
thin,thin.v.01
hold,clasp.n.02
skiing,skiing.n.01
contain,incorporate.v.02
rough,rough.n.01
skinny,skinny.n.01
chop,chop.n.01
watching,observation.n.02
good,good.n.01
lush,alcoholic.n.01
copper,copper.n.01
cutting,film_editing.n.01
ride,drive.n.08
sitting,sitting.n.01
line,line.n.01
Styrofoam,styrofoam.n.01
breast,breast.n.01
hippoes,NF
driving,drive.n.06
medicine,medicine.n.01
vending,vending.n.01
reading,reading.n.01
cotton,cotton.n.01
clay,clay.n.01
sleeved,sleeved.a.01
Asian,asian.n.01
surfing,surfing.n.01
streetlight,streetlight.n.01
burritoes,NF
serving,helping.n.01
mom,ma.n.01
triangular,triangular.s.01
edge,edge.n.01
wreath,wreath.n.01
bending,bending.n.01
hanging,hanging.n.01
Cola,cola.n.01
narrow,narrow.n.01
teddy,teddy.n.01
have,rich_person.n.01
denim,jean.n.01
flavor,spirit.n.02
Coke,coke.n.01
represent,represent.v.01
skate,skate.n.01
teal,bluish_green.n.01
lie,lie.n.01
carrying,transport.v.02
tacoes,NF
resting,rest.v.01
trick,trick.n.01
dense,dense.s.01
drainer,NF
fixture,fixture.n.01
condiment,condiment.n.01
Pikachu,NF
lift,lift.n.01
swimming,swimming.n.01
skateboarding,skateboarding.n.01
lit,literature.n.02
decker,dekker.n.01
inside,inside.n.01
bud,bud.n.01
desktop,desktop.n.01
tin,tin.n.01
brass,brass.n.01
sparse,sparse.s.01
rainbow,rainbow.n.01
shallow,shoal.n.02
Coca,erythroxylon_coca.n.01
day,day.n.01
blonde,blond.n.01
coca-cola,NF
ice-cream,NF
snowpants,NF
bald,bald.v.01
unripe,green.a.03
American,american.n.01
weight,weight.n.01
sleeping,sleeping.n.01
width,width.n.01
striped,stripe.v.01
posing,sitting.n.01
leafless,leafless.a.01
crocodile,crocodile.n.01
Caucasian,white.n.01
crouching,crouch.v.01
beside,NF
avocadoes,NF
DVDs,videodisk.n.01
work,work.n.01
nike,nike.n.01
rotten,icky.s.01
cutter,stonecutter.n.01
smooth,smooth.n.01
powerlines,NF
bathing,bathing.n.01
beneath,below.r.01
shut,close.v.01
litter,litter.n.01
meeting,meeting.n.01
furry,furred.s.01
holder,holder.n.01
running,run.n.05
bushy,bushy.s.01
mitt,hand.n.01
logoes,NF
pianoes,NF
staring,gaze.v.01
company,company.n.01
powerline,NF
dad,dad.n.01
barefoot,barefoot.s.01
talk,talk.n.01
depth,depth.n.01
cut,cut.n.01
pulling,pull.n.01
swing,swing.n.01
crystal,crystal.n.01
lean,tilt.n.04
khaki,khaki.n.01
tiny,bantam.s.01
sweet,sweet.n.01
seasoning,flavorer.n.01
carry,carry.n.01
venue,venue.n.01
art,art.n.01
Pokemon,NF
bronze,bronze.n.01
roast,roast.n.01
giant,giant.n.01
skating,skating.n.01
ceramic,ceramic.n.01
jump,jump.n.01
washing,wash.n.02
swim,swimming.n.01
stir,stir.n.01
skatepark,NF
straight,heterosexual.n.01
choppy,choppy.s.01
movie,movie.n.01
contains,incorporate.v.02
lab,lab.n.01
eat,eat.v.01
mobile,mobile.n.01
processor,processor.n.01
red,red.n.01
silk,silk.n.01
note,note.n.01
feeding,eating.n.01
play,play.n.01
fresh,fresh.a.01
styrofoam,styrofoam.n.01
panel,panel.n.01
hitting,hit.n.02
adidas,NF
rest,remainder.n.01
Mickey,paddy.n.01
shirtless,NF
deep,deep.n.01
modern,modern.n.01
fly,fly.n.01
catching,catching.n.01
manhole,manhole.n.01
eats,chow.n.02
preserver,refinisher.n.01
bamboo,bamboo.n.01
touching,touch.n.01
moustache,mustache.n.01
pin,pin.n.01
mixing,mix.n.03
pointing,indicate.v.02
brief,brief.n.01
immature,immature.a.01
Elmo,NF
direction,direction.n.01
opener,opener.n.01
grazing,graze.n.02
Did,make.v.01
float,float.n.01
raw,raw.n.01
group,group.n.01
smoothy,smoothie.n.01
background,background.n.01
wiis,NF
snowboarding,snowboarding.n.01
elmoes,NF
waiting,wait.n.02
point,point.n.01
touch,touch.n.01
heavy,heavy.n.01
oval,ellipse.n.01
open,open.n.01
wild,wild.n.01
chasing,chase.v.01
peel,peel.n.01
foam,foam.n.01
surround,environment.n.02
mature,mature.v.01
Lego,lego.n.01
stuck,lodge.v.02
steering,guidance.n.02
legoes,NF
cleaner,cleansing_agent.n.01
ethnicity,ethnicity.n.01
leaning,leaning.n.01
fluffy,downy.s.01
balding,bald.v.01
gummy,gluey.s.01
Parmesan,parmesan.n.01
dull,dull.v.01
selling,selling.n.01
fuzzy,fuzzed.s.01
throwing,throw.v.01
opening,opening.n.01
Christmas,christmas.n.01
underneath,underneath.r.01
low,low.n.01
cooked,cook.v.01
race,race.n.01
preparing,fix.v.12
opaque,opaque.a.01
pull,pull.n.01
blurry,bleary.s.02
baking,baking.n.01
parked,park.v.01
catch,catch.n.01
utility,utility.n.01
facing,facing.n.01
covering,covering.n.01
bent,bent.n.01
satellite,satellite.n.01
hoof,hoof.n.01
miniature,miniature.n.01
coarse,coarse.a.01
smile,smile.n.01
octagonal,octangular.a.01
fake,fake.n.01
curved,swerve.v.01
yolk,egg_yolk.n.01
tabby,tabby.n.01
burnt,burn.v.01
chewing,chew.n.02
graz,graz.n.01
stack,stack.n.01
balance,balance.n.01
exit,exit.n.01
making,devising.n.01
homemade,homemade.a.01
run,run.n.01
throw,throw.n.01
puffy,bouffant.s.01
petting,caressing.n.01
woven,weave.v.01
muddy,muddy.v.01
ornate,flowery.s.02
wait,delay.n.01
chase,pursuit.n.01
texture,texture.n.01
biting,bite.v.01
graze,graze.n.01
down,down.n.01
grabbing,catch.v.04
fast,fast.n.01
observing,detect.v.01
reach,range.n.02
chopped,chop.v.01
grow,turn.v.07
birthday,birthday.n.01
carton,carton.n.01
price,monetary_value.n.01
covered,cover.v.01
off,murder.v.01
mashed,squash.v.01
rippling,ripple.n.01
try,attempt.n.01
leading,lead.n.14
turned-off,NF
multi,NF
flying,flight.n.02
herding,herd.v.01
wireless,radio.n.01
sheer,swerve.v.01
bronwy,NF
reaching,reach.n.03
come,semen.n.01
sleepy,sleepy.s.01
unhealthy,unhealthy.a.01
bite,bite.n.01
licking,defeat.n.01
worn,wear.v.01
hard,difficult.a.01
calico,calico.n.01
barren,barren.n.01
plaid,tartan.n.01
Does,department_of_energy.n.01
misty,brumous.s.01
guide,usher.n.03
soft,soft.a.01
long,hanker.v.01
lead,lead.n.01
transparent,crystalline.s.03
turquoise,turquoise.n.01
high,high.n.01
guiding,steer.v.01
wading,wading.n.01
kneeling,kneel.n.01
cricket,cricket.n.01
hairy,hairy.a.01
boarding,boarding.n.01
climb,ascent.n.01
enclosing,enclosure.n.02
cleaning,cleaning.n.01
abundant,abundant.a.01
pet,pet.n.01
basketball,basketball.n.01
storage,storage.n.01
wave,wave.n.01
string,string.n.01
eraser,eraser.n.01
up,up.v.01
colored,colored_person.n.01
floating,floating.n.01
burgundy,bourgogne.n.01
downwards,down.r.01
sniffing,sniff.v.01
pokemons,NF
approaching,approach.n.05
comfortable,comfortable.a.01
tying,tying.n.01
music,music.n.01
shadowed,shadow.v.01
hugging,caressing.n.01
crooked,crook.v.01
following,following.n.01
sleep,sleep.n.01
curly,curly.a.01
rusty,rusty.s.01
pointy,NF
grouped,group.v.01
pretty,pretty.s.01
hung,hang.v.01
alert,alert.n.01
working,working.n.01
glowing,radiance.n.01
pikachus,NF
shadow,shadow.n.01
torn,tear.v.01
leaving,departure.n.01
broken,interrupt.v.04
shaggy,bushy.s.01
chubby,chubby.s.01
towards,NF
diced,cube.v.02
climbing,climb.n.02
stacked,stack.v.01
taller,tall.a.01
horizontal,horizontal.n.01
octopodes,NF
crusty,crusted.s.01
tossing,flip.v.06
eaten,eat.v.01
handmade,handmade.a.01
onto,NF
balancing,reconciliation.n.02
plush,plush.n.01
read,read.n.01
rolling,peal.n.01
growing,growth.n.01
crispy,crisp.s.02
fried,fry.v.01
polar,polar.s.01
patchy,patchy.s.01
surrounding,surround.v.01
Into,NF
piled,stack.v.02
checkered,check.v.16
upwards,up.r.01
commercial,commercial.n.01
frying,frying.n.01
winter,winter.n.01
outdoor,outdoor.a.01
spinning,spinning.n.01
topped,exceed.v.02
hit,hit.n.01
batting,batting.n.01
breaking,breakage.n.03
half,one-half.n.01
wash,wash.n.01
sturdy,hardy.s.01
blow,blow.n.01
little,little.n.01
toss,flip.n.04
pouring,pour.v.01
smiling,smile.n.01
vertical,vertical.n.01
dried,dry.v.01
below,below.r.01
serve,serve.n.01
analog,analogue.n.01
barbed,barb.v.01
waving,wave.n.05
roman,roman.n.01
glazed,glaze.v.01
messy,messy.s.01
fancy,illusion.n.02
curvy,curvy.s.01
wrinkly,wrinkled.a.01
smelling,smell.n.05
do,bash.n.02
kicking,kick.n.06
