idx,category,hypernym,negative_sample,hypernym_sentence,negative_sentence
1396,cow,mammal,office supply,cows are a type of mammal,cows are a type of office supply
1397,cow,livestock,sea animal,cows are a type of livestock,cows are a type of sea animal
1398,cow,livestock,medical equipment,cows are a type of livestock,cows are a type of medical equipment
1399,cow,livestock,footwear,cows are a type of livestock,cows are a type of footwear
1400,cow,livestock,food,cows are a type of livestock,cows are a type of food
1401,cow,animal,electronic device,cows are a type of animal,cows are a type of electronic device
1402,cow,animal,insect,cows are a type of animal,cows are a type of insect
1403,cow,animal,kitchen equipment,cows are a type of animal,cows are a type of kitchen equipment
1404,cow,animal,headwear,cows are a type of animal,cows are a type of headwear
1405,blouse,clothing,toy,blouses are a type of clothing,blouses are a type of toy
1406,blouse,clothing,garden tool,blouses are a type of clothing,blouses are a type of garden tool
1407,blouse,clothing,condiment,blouses are a type of clothing,blouses are a type of condiment
1408,blouse,clothing,school supply,blouses are a type of clothing,blouses are a type of school supply
1409,blouse,women's clothing,tool,blouses are a type of women's clothes,blouses are a type of tool
1410,blouse,women's clothing,protective clothing,blouses are a type of women's clothes,blouses are a type of protective clothing
1411,blouse,women's clothing,home decor,blouses are a type of women's clothes,blouses are a type of home decor
1412,blouse,women's clothing,fruit,blouses are a type of women's clothes,blouses are a type of fruit
1413,asparagus,plant,seafood,asparagus is a type of plant,asparagus is a type of seafood
1414,asparagus,plant,condiment,asparagus is a type of plant,asparagus is a type of condiment
1415,asparagus,plant,furniture,asparagus is a type of plant,asparagus is a type of furniture
1416,asparagus,plant,women's clothing,asparagus is a type of plant,asparagus is a type of women's clothes
1417,asparagus,food,fruit,asparagus is a type of food,asparagus is a type of fruit
1418,asparagus,food,auto part,asparagus is a type of food,asparagus is a type of auto part
1419,asparagus,food,toy,asparagus is a type of food,asparagus is a type of toy
1420,asparagus,food,office supply,asparagus is a type of food,asparagus is a type of office supply
1421,asparagus,vegetable,outerwear,asparagus is a type of vegetable,asparagus is a type of outerwear
1422,asparagus,vegetable,kitchen equipment,asparagus is a type of vegetable,asparagus is a type of kitchen equipment
1423,asparagus,vegetable,game,asparagus is a type of vegetable,asparagus is a type of game
1424,asparagus,vegetable,school supply,asparagus is a type of vegetable,asparagus is a type of school supply
1425,pesto,condiment,protective clothing,pesto is a type of condiment,pesto is a type of protective clothing
1426,pesto,condiment,women's clothing,pesto is a type of condiment,pesto is a type of women's clothes
1427,pesto,condiment,water vehicle,pesto is a type of condiment,pesto is a type of water vehicle
1428,pesto,condiment,electronic device,pesto is a type of condiment,pesto is a type of electronic device
1429,pesto,food,plant,pesto is a type of food,pesto is a type of plant
1430,pesto,food,headwear,pesto is a type of food,pesto is a type of headwear
1431,pesto,food,vegetable,pesto is a type of food,pesto is a type of vegetable
1432,pesto,food,footwear,pesto is a type of food,pesto is a type of footwear
1433,perfume,toiletry,office supply,perfumes are a type of toiletry,perfumes are a type of office supply
1434,perfume,toiletry,jewelry,perfumes are a type of toiletry,perfumes are a type of jewelry
1435,perfume,toiletry,footwear,perfumes are a type of toiletry,perfumes are a type of footwear
1436,perfume,toiletry,school supply,perfumes are a type of toiletry,perfumes are a type of school supply
1437,ball,toy,footwear,balls are a type of toy,balls are a type of footwear
1438,ball,toy,bird,balls are a type of toy,balls are a type of bird
1439,ball,toy,animal,balls are a type of toy,balls are a type of animal
1440,ball,toy,garden tool,balls are a type of toy,balls are a type of garden tool
1441,mop,tool,home decor,mops are a type of tool,mops are a type of home decor
1442,mop,tool,electronic device,mops are a type of tool,mops are a type of electronic device
1443,mop,tool,jewelry,mops are a type of tool,mops are a type of jewelry
1444,mop,tool,dessert,mops are a type of tool,mops are a type of dessert
1445,polo shirt,clothing,protective clothing,polo shirts are a type of clothing,polo shirts are a type of protective clothing
1446,polo shirt,clothing,container,polo shirts are a type of clothing,polo shirts are a type of container
1447,polo shirt,clothing,tool,polo shirts are a type of clothing,polo shirts are a type of tool
1448,polo shirt,clothing,school supply,polo shirts are a type of clothing,polo shirts are a type of school supply
1449,chicken,bird,mammal,a chicken is a type of bird,a chicken is a type of mammal
1450,chicken,bird,fastener,a chicken is a type of bird,a chicken is a type of fastener
1451,chicken,bird,auto part,a chicken is a type of bird,a chicken is a type of auto part
1452,chicken,bird,container,a chicken is a type of bird,a chicken is a type of container
1453,chicken,food,fruit,a chicken is a type of food,a chicken is a type of fruit
1454,chicken,food,insect,a chicken is a type of food,a chicken is a type of insect
1455,chicken,food,sea animal,a chicken is a type of food,a chicken is a type of sea animal
1456,chicken,food,electronic device,a chicken is a type of food,a chicken is a type of electronic device
1457,chicken,livestock,mammal,a chicken is a type of livestock,a chicken is a type of mammal
1458,chicken,livestock,container,a chicken is a type of livestock,a chicken is a type of container
1459,chicken,livestock,condiment,a chicken is a type of livestock,a chicken is a type of condiment
1460,chicken,livestock,fastener,a chicken is a type of livestock,a chicken is a type of fastener
1461,chicken,animal,protective clothing,a chicken is a type of animal,a chicken is a type of protective clothing
1462,chicken,animal,candy,a chicken is a type of animal,a chicken is a type of candy
1463,chicken,animal,clothing,a chicken is a type of animal,a chicken is a type of clothing
1464,chicken,animal,women's clothing,a chicken is a type of animal,a chicken is a type of women's clothes
1465,meatloaf,food,seafood,a meatloaf is a type of food,a meatloaf is a type of seafood
1466,meatloaf,food,toy,a meatloaf is a type of food,a meatloaf is a type of toy
1467,meatloaf,food,musical instrument,a meatloaf is a type of food,a meatloaf is a type of musical instrument
1468,meatloaf,food,clothing,a meatloaf is a type of food,a meatloaf is a type of clothing
1469,lizard,animal,office supply,lizards are a type of animal,lizards are a type of office supply
1470,lizard,animal,kitchen tool,lizards are a type of animal,lizards are a type of kitchen tool
1471,lizard,animal,outerwear,lizards are a type of animal,lizards are a type of outerwear
1472,lizard,animal,headwear,lizards are a type of animal,lizards are a type of headwear
1473,diaper,clothing,women's clothing,diapers are a type of clothing,diapers are a type of women's clothes
1474,diaper,clothing,candy,diapers are a type of clothing,diapers are a type of candy
1475,diaper,clothing,animal,diapers are a type of clothing,diapers are a type of animal
1476,diaper,clothing,game,diapers are a type of clothing,diapers are a type of game
1477,diaper,toiletry,outerwear,diapers are a type of toiletry,diapers are a type of outerwear
1478,diaper,toiletry,bird,diapers are a type of toiletry,diapers are a type of bird
1479,diaper,toiletry,footwear,diapers are a type of toiletry,diapers are a type of footwear
1480,diaper,toiletry,jewelry,diapers are a type of toiletry,diapers are a type of jewelry
1481,gasket,fastener,headwear,gaskets are a type of fastener,gaskets are a type of headwear
1482,gasket,fastener,kitchen equipment,gaskets are a type of fastener,gaskets are a type of kitchen equipment
1483,gasket,fastener,sea animal,gaskets are a type of fastener,gaskets are a type of sea animal
1484,gasket,fastener,bird,gaskets are a type of fastener,gaskets are a type of bird
1485,gasket,auto part,toy,gaskets are a type of auto part,gaskets are a type of toy
1486,gasket,auto part,condiment,gaskets are a type of auto part,gaskets are a type of condiment
1487,gasket,auto part,animal,gaskets are a type of auto part,gaskets are a type of animal
1488,gasket,auto part,accessory,gaskets are a type of auto part,gaskets are a type of accessory
1489,chaps,clothing,auto part,chapsticks are a type of clothing,chapsticks are a type of auto part
1490,chaps,clothing,drink,chapsticks are a type of clothing,chapsticks are a type of drink
1491,chaps,clothing,dessert,chapsticks are a type of clothing,chapsticks are a type of dessert
1492,chaps,clothing,livestock,chapsticks are a type of clothing,chapsticks are a type of livestock
1493,wallpaper,home decor,vehicle,wallpapers are a type of home decor,wallpapers are a type of vehicle
1494,wallpaper,home decor,toiletry,wallpapers are a type of home decor,wallpapers are a type of toiletry
1495,wallpaper,home decor,fruit,wallpapers are a type of home decor,wallpapers are a type of fruit
1496,wallpaper,home decor,school supply,wallpapers are a type of home decor,wallpapers are a type of school supply
1497,shears,garden tool,drink,shears are a type of garden tool,shears are a type of drink
1498,shears,garden tool,container,shears are a type of garden tool,shears are a type of container
1499,shears,garden tool,kitchen equipment,shears are a type of garden tool,shears are a type of kitchen equipment
1500,shears,garden tool,food,shears are a type of garden tool,shears are a type of food
1501,shears,tool,women's clothing,shears are a type of tool,shears are a type of women's clothes
1502,shears,tool,accessory,shears are a type of tool,shears are a type of accessory
1503,shears,tool,dessert,shears are a type of tool,shears are a type of dessert
1504,shears,tool,toiletry,shears are a type of tool,shears are a type of toiletry
1505,souffle,food,protective clothing,souffles are a type of food,souffles are a type of protective clothing
1506,souffle,food,medical equipment,souffles are a type of food,souffles are a type of medical equipment
1507,souffle,food,kitchen tool,souffles are a type of food,souffles are a type of kitchen tool
1508,souffle,food,drink,souffles are a type of food,souffles are a type of drink
1509,souffle,dessert,vehicle,souffles are a type of dessert,souffles are a type of vehicle
1510,souffle,dessert,home decor,souffles are a type of dessert,souffles are a type of home decor
1511,souffle,dessert,weapon,souffles are a type of dessert,souffles are a type of weapon
1512,souffle,dessert,condiment,souffles are a type of dessert,souffles are a type of condiment
1513,rhubarb,food,women's clothing,rhubarbs are a type of food,rhubarbs are a type of women's clothes
1514,rhubarb,food,kitchen tool,rhubarbs are a type of food,rhubarbs are a type of kitchen tool
1515,rhubarb,food,drink,rhubarbs are a type of food,rhubarbs are a type of drink
1516,rhubarb,food,condiment,rhubarbs are a type of food,rhubarbs are a type of condiment
1517,rhubarb,vegetable,fastener,rhubarbs are a type of vegetable,rhubarbs are a type of fastener
1518,rhubarb,vegetable,jewelry,rhubarbs are a type of vegetable,rhubarbs are a type of jewelry
1519,rhubarb,vegetable,protective clothing,rhubarbs are a type of vegetable,rhubarbs are a type of protective clothing
1520,rhubarb,vegetable,sea animal,rhubarbs are a type of vegetable,rhubarbs are a type of sea animal
1521,pantsuit,clothing,office supply,pantsuits are a type of clothing,pantsuits are a type of office supply
1522,pantsuit,clothing,livestock,pantsuits are a type of clothing,pantsuits are a type of livestock
1523,pantsuit,clothing,school supply,pantsuits are a type of clothing,pantsuits are a type of school supply
1524,pantsuit,clothing,auto part,pantsuits are a type of clothing,pantsuits are a type of auto part
1525,pantsuit,women's clothing,mammal,pantsuits are a type of women's clothes,pantsuits are a type of mammal
1526,pantsuit,women's clothing,drink,pantsuits are a type of women's clothes,pantsuits are a type of drink
1527,pantsuit,women's clothing,electronic device,pantsuits are a type of women's clothes,pantsuits are a type of electronic device
1528,pantsuit,women's clothing,fastener,pantsuits are a type of women's clothes,pantsuits are a type of fastener
1529,armor,protective clothing,headwear,armor is a type of protective clothing,armor is a type of headwear
1530,armor,protective clothing,electronic device,armor is a type of protective clothing,armor is a type of electronic device
1531,armor,protective clothing,toy,armor is a type of protective clothing,armor is a type of toy
1532,armor,protective clothing,jewelry,armor is a type of protective clothing,armor is a type of jewelry
1533,armor,clothing,garden tool,armor is a type of clothing,armor is a type of garden tool
1534,armor,clothing,women's clothing,armor is a type of clothing,armor is a type of women's clothes
1535,armor,clothing,mammal,armor is a type of clothing,armor is a type of mammal
1536,armor,clothing,water vehicle,armor is a type of clothing,armor is a type of water vehicle
1537,folder,school supply,medical equipment,folders are a type of school supply,folders are a type of medical equipment
1538,folder,school supply,auto part,folders are a type of school supply,folders are a type of auto part
1539,folder,school supply,food,folders are a type of school supply,folders are a type of food
1540,folder,school supply,kitchen equipment,folders are a type of school supply,folders are a type of kitchen equipment
1541,folder,office supply,toiletry,folders are a type of office supply,folders are a type of toiletry
1542,folder,office supply,dessert,folders are a type of office supply,folders are a type of dessert
1543,folder,office supply,insect,folders are a type of office supply,folders are a type of insect
1544,folder,office supply,kitchen equipment,folders are a type of office supply,folders are a type of kitchen equipment
1545,book,school supply,headwear,books are a type of school supply,books are a type of headwear
1546,book,school supply,outerwear,books are a type of school supply,books are a type of outerwear
1547,book,school supply,musical instrument,books are a type of school supply,books are a type of musical instrument
1548,book,school supply,animal,books are a type of school supply,books are a type of animal
1549,landmine,weapon,auto part,landmines are a type of weapon,landmines are a type of auto part
1550,landmine,weapon,medical equipment,landmines are a type of weapon,landmines are a type of medical equipment
1551,landmine,weapon,fruit,landmines are a type of weapon,landmines are a type of fruit
1552,landmine,weapon,accessory,landmines are a type of weapon,landmines are a type of accessory
1553,bison,mammal,vehicle,bisons are a type of mammal,bisons are a type of vehicle
1554,bison,mammal,fastener,bisons are a type of mammal,bisons are a type of fastener
1555,bison,mammal,dessert,bisons are a type of mammal,bisons are a type of dessert
1556,bison,mammal,food,bisons are a type of mammal,bisons are a type of food
1557,bison,livestock,medical equipment,bisons are a type of livestock,bisons are a type of medical equipment
1558,bison,livestock,toiletry,bisons are a type of livestock,bisons are a type of toiletry
1559,bison,livestock,auto part,bisons are a type of livestock,bisons are a type of auto part
1560,bison,livestock,drink,bisons are a type of livestock,bisons are a type of drink
1561,bison,animal,candy,bisons are a type of animal,bisons are a type of candy
1562,bison,animal,game,bisons are a type of animal,bisons are a type of game
1563,bison,animal,school supply,bisons are a type of animal,bisons are a type of school supply
1564,bison,animal,weapon,bisons are a type of animal,bisons are a type of weapon
1565,wafer,food,fruit,wafers are a type of food,wafers are a type of fruit
1566,wafer,food,fastener,wafers are a type of food,wafers are a type of fastener
1567,wafer,food,weapon,wafers are a type of food,wafers are a type of weapon
1568,wafer,food,footwear,wafers are a type of food,wafers are a type of footwear
1569,walrus,mammal,kitchen equipment,walruses are a type of mammal,walruses are a type of kitchen equipment
1570,walrus,mammal,headwear,walruses are a type of mammal,walruses are a type of headwear
1571,walrus,mammal,plant,walruses are a type of mammal,walruses are a type of plant
1572,walrus,mammal,school supply,walruses are a type of mammal,walruses are a type of school supply
1573,walrus,animal,accessory,walruses are a type of animal,walruses are a type of accessory
1574,walrus,animal,kitchen tool,walruses are a type of animal,walruses are a type of kitchen tool
1575,walrus,animal,office supply,walruses are a type of animal,walruses are a type of office supply
1576,walrus,animal,fastener,walruses are a type of animal,walruses are a type of fastener
1577,walrus,sea animal,tool,walruses are a type of sea animal,walruses are a type of tool
1578,walrus,sea animal,fastener,walruses are a type of sea animal,walruses are a type of fastener
1579,walrus,sea animal,office supply,walruses are a type of sea animal,walruses are a type of office supply
1580,walrus,sea animal,plant,walruses are a type of sea animal,walruses are a type of plant
1581,cheeseburger,food,fruit,cheeseburgers are a type of food,cheeseburgers are a type of fruit
1582,cheeseburger,food,kitchen equipment,cheeseburgers are a type of food,cheeseburgers are a type of kitchen equipment
1583,cheeseburger,food,vegetable,cheeseburgers are a type of food,cheeseburgers are a type of vegetable
1584,cheeseburger,food,drink,cheeseburgers are a type of food,cheeseburgers are a type of drink
1585,headdress,clothing,furniture,headdresses are a type of clothing,headdresses are a type of furniture
1586,headdress,clothing,kitchen equipment,headdresses are a type of clothing,headdresses are a type of kitchen equipment
1587,headdress,clothing,musical instrument,headdresses are a type of clothing,headdresses are a type of musical instrument
1588,headdress,clothing,home decor,headdresses are a type of clothing,headdresses are a type of home decor
1589,headdress,headwear,auto part,headdresses are a type of headwear,headdresses are a type of auto part
1590,headdress,headwear,insect,headdresses are a type of headwear,headdresses are a type of insect
1591,headdress,headwear,container,headdresses are a type of headwear,headdresses are a type of container
1592,headdress,headwear,garden tool,headdresses are a type of headwear,headdresses are a type of garden tool
1593,headdress,accessory,mammal,headdresses are a type of accessory,headdresses are a type of mammal
1594,headdress,accessory,fruit,headdresses are a type of accessory,headdresses are a type of fruit
1595,headdress,accessory,protective clothing,headdresses are a type of accessory,headdresses are a type of protective clothing
1596,headdress,accessory,sea animal,headdresses are a type of accessory,headdresses are a type of sea animal
1597,fast food,food,musical instrument,fast foods are a type of food,fast foods are a type of musical instrument
1598,fast food,food,toiletry,fast foods are a type of food,fast foods are a type of toiletry
1599,fast food,food,vegetable,fast foods are a type of food,fast foods are a type of vegetable
1600,fast food,food,condiment,fast foods are a type of food,fast foods are a type of condiment
1601,barrette,jewelry,dessert,barrettes are a type of jewelry,barrettes are a type of dessert
1602,barrette,jewelry,electronic device,barrettes are a type of jewelry,barrettes are a type of electronic device
1603,barrette,jewelry,outerwear,barrettes are a type of jewelry,barrettes are a type of outerwear
1604,barrette,jewelry,sea animal,barrettes are a type of jewelry,barrettes are a type of sea animal
1605,barrette,fastener,protective clothing,barrettes are a type of fastener,barrettes are a type of protective clothing
1606,barrette,fastener,toy,barrettes are a type of fastener,barrettes are a type of toy
1607,barrette,fastener,garden tool,barrettes are a type of fastener,barrettes are a type of garden tool
1608,barrette,fastener,condiment,barrettes are a type of fastener,barrettes are a type of condiment
1609,bag,container,bird,bags are a type of container,bags are a type of bird
1610,bag,container,home decor,bags are a type of container,bags are a type of home decor
1611,bag,container,musical instrument,bags are a type of container,bags are a type of musical instrument
1612,bag,container,furniture,bags are a type of container,bags are a type of furniture
1613,overalls,clothing,water vehicle,overalls are a type of clothing,overalls are a type of water vehicle
1614,overalls,clothing,weapon,overalls are a type of clothing,overalls are a type of weapon
1615,overalls,clothing,office supply,overalls are a type of clothing,overalls are a type of office supply
1616,overalls,clothing,women's clothing,overalls are a type of clothing,overalls are a type of women's clothes
1617,overalls,protective clothing,women's clothing,overalls are a type of protective clothing,overalls are a type of women's clothes
1618,overalls,protective clothing,animal,overalls are a type of protective clothing,overalls are a type of animal
1619,overalls,protective clothing,weapon,overalls are a type of protective clothing,overalls are a type of weapon
1620,overalls,protective clothing,sea animal,overalls are a type of protective clothing,overalls are a type of sea animal
1621,overalls,outerwear,water vehicle,overalls are a type of outerwear,overalls are a type of water vehicle
1622,overalls,outerwear,kitchen tool,overalls are a type of outerwear,overalls are a type of kitchen tool
1623,overalls,outerwear,home decor,overalls are a type of outerwear,overalls are a type of home decor
1624,overalls,outerwear,musical instrument,overalls are a type of outerwear,overalls are a type of musical instrument
1625,candy bar,food,auto part,candy bars are a type of food,candy bars are a type of auto part
1626,candy bar,food,dessert,candy bars are a type of food,candy bars are a type of dessert
1627,candy bar,food,vegetable,candy bars are a type of food,candy bars are a type of vegetable
1628,candy bar,food,toy,candy bars are a type of food,candy bars are a type of toy
1629,candy bar,candy,office supply,candy bars are a type of candy,candy bars are a type of office supply
1630,candy bar,candy,musical instrument,candy bars are a type of candy,candy bars are a type of musical instrument
1631,candy bar,candy,vegetable,candy bars are a type of candy,candy bars are a type of vegetable
1632,candy bar,candy,auto part,candy bars are a type of candy,candy bars are a type of auto part
1633,ferret,mammal,livestock,ferrets are a type of mammal,ferrets are a type of livestock
1634,ferret,mammal,plant,ferrets are a type of mammal,ferrets are a type of plant
1635,ferret,mammal,electronic device,ferrets are a type of mammal,ferrets are a type of electronic device
1636,ferret,mammal,vegetable,ferrets are a type of mammal,ferrets are a type of vegetable
1637,ferret,animal,medical equipment,ferrets are a type of animal,ferrets are a type of medical equipment
1638,ferret,animal,auto part,ferrets are a type of animal,ferrets are a type of auto part
1639,ferret,animal,fastener,ferrets are a type of animal,ferrets are a type of fastener
1640,ferret,animal,musical instrument,ferrets are a type of animal,ferrets are a type of musical instrument
1641,spider,animal,vehicle,spiders are a type of animal,spiders are a type of vehicle
1642,spider,animal,plant,spiders are a type of animal,spiders are a type of plant
1643,spider,animal,auto part,spiders are a type of animal,spiders are a type of auto part
1644,spider,animal,seafood,spiders are a type of animal,spiders are a type of seafood
1645,gravy,food,furniture,gravy is a type of food,gravy is a type of furniture
1646,gravy,food,game,gravy is a type of food,gravy is a type of game
1647,gravy,food,kitchen equipment,gravy is a type of food,gravy is a type of kitchen equipment
1648,gravy,food,animal,gravy is a type of food,gravy is a type of animal
1649,gravy,condiment,garden tool,gravy is a type of condiment,gravy is a type of garden tool
1650,gravy,condiment,protective clothing,gravy is a type of condiment,gravy is a type of protective clothing
1651,gravy,condiment,fruit,gravy is a type of condiment,gravy is a type of fruit
1652,gravy,condiment,furniture,gravy is a type of condiment,gravy is a type of furniture
1653,pitchfork,tool,bird,pitchforks are a type of tool,pitchforks are a type of bird
1654,pitchfork,tool,office supply,pitchforks are a type of tool,pitchforks are a type of office supply
1655,pitchfork,tool,school supply,pitchforks are a type of tool,pitchforks are a type of school supply
1656,pitchfork,tool,candy,pitchforks are a type of tool,pitchforks are a type of candy
1657,pitchfork,garden tool,candy,pitchforks are a type of garden tool,pitchforks are a type of candy
1658,pitchfork,garden tool,headwear,pitchforks are a type of garden tool,pitchforks are a type of headwear
1659,pitchfork,garden tool,vehicle,pitchforks are a type of garden tool,pitchforks are a type of vehicle
1660,pitchfork,garden tool,seafood,pitchforks are a type of garden tool,pitchforks are a type of seafood
1661,pitchfork,weapon,school supply,pitchforks are a type of weapon,pitchforks are a type of school supply
1662,pitchfork,weapon,water vehicle,pitchforks are a type of weapon,pitchforks are a type of water vehicle
1663,pitchfork,weapon,seafood,pitchforks are a type of weapon,pitchforks are a type of seafood
1664,pitchfork,weapon,office supply,pitchforks are a type of weapon,pitchforks are a type of office supply
1665,cocktail,drink,accessory,cocktails are a type of drink,cocktails are a type of accessory
1666,cocktail,drink,clothing,cocktails are a type of drink,cocktails are a type of clothing
1667,cocktail,drink,toy,cocktails are a type of drink,cocktails are a type of toy
1668,cocktail,drink,school supply,cocktails are a type of drink,cocktails are a type of school supply
1669,piggy bank,container,food,piggy banks are a type of container,piggy banks are a type of food
1670,piggy bank,container,jewelry,piggy banks are a type of container,piggy banks are a type of jewelry
1671,piggy bank,container,weapon,piggy banks are a type of container,piggy banks are a type of weapon
1672,piggy bank,container,candy,piggy banks are a type of container,piggy banks are a type of candy
1673,knob,tool,medical equipment,knobs are a type of tool,knobs are a type of medical equipment
1674,knob,tool,fruit,knobs are a type of tool,knobs are a type of fruit
1675,knob,tool,electronic device,knobs are a type of tool,knobs are a type of electronic device
1676,knob,tool,condiment,knobs are a type of tool,knobs are a type of condiment
1677,crow,animal,protective clothing,crows are a type of animal,crows are a type of protective clothing
1678,crow,animal,clothing,crows are a type of animal,crows are a type of clothing
1679,crow,animal,plant,crows are a type of animal,crows are a type of plant
1680,crow,animal,tool,crows are a type of animal,crows are a type of tool
1681,crow,bird,kitchen tool,crows are a type of bird,crows are a type of kitchen tool
1682,crow,bird,seafood,crows are a type of bird,crows are a type of seafood
1683,crow,bird,home decor,crows are a type of bird,crows are a type of home decor
1684,crow,bird,sea animal,crows are a type of bird,crows are a type of sea animal
1685,valve,tool,food,valves are a type of tool,valves are a type of food
1686,valve,tool,electronic device,valves are a type of tool,valves are a type of electronic device
1687,valve,tool,water vehicle,valves are a type of tool,valves are a type of water vehicle
1688,valve,tool,weapon,valves are a type of tool,valves are a type of weapon
1689,broccoli,vegetable,bird,broccoli is a type of vegetable,broccoli is a type of bird
1690,broccoli,vegetable,electronic device,broccoli is a type of vegetable,broccoli is a type of electronic device
1691,broccoli,vegetable,livestock,broccoli is a type of vegetable,broccoli is a type of livestock
1692,broccoli,vegetable,jewelry,broccoli is a type of vegetable,broccoli is a type of jewelry
1693,broccoli,plant,kitchen equipment,broccoli is a type of plant,broccoli is a type of kitchen equipment
1694,broccoli,plant,school supply,broccoli is a type of plant,broccoli is a type of school supply
1695,broccoli,plant,water vehicle,broccoli is a type of plant,broccoli is a type of water vehicle
1696,broccoli,plant,container,broccoli is a type of plant,broccoli is a type of container
1697,broccoli,food,mammal,broccoli is a type of food,broccoli is a type of mammal
1698,broccoli,food,jewelry,broccoli is a type of food,broccoli is a type of jewelry
1699,broccoli,food,seafood,broccoli is a type of food,broccoli is a type of seafood
1700,broccoli,food,dessert,broccoli is a type of food,broccoli is a type of dessert
1701,sewing machine,electronic device,outerwear,sewing machines are a type of electronic device,sewing machines are a type of outerwear
1702,sewing machine,electronic device,protective clothing,sewing machines are a type of electronic device,sewing machines are a type of protective clothing
1703,sewing machine,electronic device,livestock,sewing machines are a type of electronic device,sewing machines are a type of livestock
1704,sewing machine,electronic device,dessert,sewing machines are a type of electronic device,sewing machines are a type of dessert
1705,gearshift,auto part,water vehicle,gearshifts are a type of auto part,gearshifts are a type of water vehicle
1706,gearshift,auto part,protective clothing,gearshifts are a type of auto part,gearshifts are a type of protective clothing
1707,gearshift,auto part,accessory,gearshifts are a type of auto part,gearshifts are a type of accessory
1708,gearshift,auto part,sea animal,gearshifts are a type of auto part,gearshifts are a type of sea animal
1709,doorhandle,tool,kitchen equipment,doorhandles are a type of tool,doorhandles are a type of kitchen equipment
1710,doorhandle,tool,insect,doorhandles are a type of tool,doorhandles are a type of insect
1711,doorhandle,tool,weapon,doorhandles are a type of tool,doorhandles are a type of weapon
1712,doorhandle,tool,bird,doorhandles are a type of tool,doorhandles are a type of bird
1713,seal,animal,vegetable,seals are a type of animal,seals are a type of vegetable
1714,seal,animal,plant,seals are a type of animal,seals are a type of plant
1715,seal,animal,candy,seals are a type of animal,seals are a type of candy
1716,seal,animal,jewelry,seals are a type of animal,seals are a type of jewelry
1717,seal,sea animal,women's clothing,seals are a type of sea animal,seals are a type of women's clothes
1718,seal,sea animal,dessert,seals are a type of sea animal,seals are a type of dessert
1719,seal,sea animal,plant,seals are a type of sea animal,seals are a type of plant
1720,seal,sea animal,vegetable,seals are a type of sea animal,seals are a type of vegetable
1721,seal,mammal,musical instrument,seals are a type of mammal,seals are a type of musical instrument
1722,seal,mammal,accessory,seals are a type of mammal,seals are a type of accessory
1723,seal,mammal,tool,seals are a type of mammal,seals are a type of tool
1724,seal,mammal,home decor,seals are a type of mammal,seals are a type of home decor
1725,mussel,food,plant,mussels are a type of food,mussels are a type of plant
1726,mussel,food,mammal,mussels are a type of food,mussels are a type of mammal
1727,mussel,food,auto part,mussels are a type of food,mussels are a type of auto part
1728,mussel,food,condiment,mussels are a type of food,mussels are a type of condiment
1729,mussel,sea animal,electronic device,mussels are a type of sea animal,mussels are a type of electronic device
1730,mussel,sea animal,condiment,mussels are a type of sea animal,mussels are a type of condiment
1731,mussel,sea animal,office supply,mussels are a type of sea animal,mussels are a type of office supply
1732,mussel,sea animal,drink,mussels are a type of sea animal,mussels are a type of drink
1733,mussel,animal,medical equipment,mussels are a type of animal,mussels are a type of medical equipment
1734,mussel,animal,candy,mussels are a type of animal,mussels are a type of candy
1735,mussel,animal,auto part,mussels are a type of animal,mussels are a type of auto part
1736,mussel,animal,vehicle,mussels are a type of animal,mussels are a type of vehicle
1737,mussel,seafood,drink,mussels are a type of seafood,mussels are a type of drink
1738,mussel,seafood,outerwear,mussels are a type of seafood,mussels are a type of outerwear
1739,mussel,seafood,accessory,mussels are a type of seafood,mussels are a type of accessory
1740,mussel,seafood,toy,mussels are a type of seafood,mussels are a type of toy
1741,flatiron,toiletry,accessory,flatirons are a type of toiletry,flatirons are a type of accessory
1742,flatiron,toiletry,water vehicle,flatirons are a type of toiletry,flatirons are a type of water vehicle
1743,flatiron,toiletry,bird,flatirons are a type of toiletry,flatirons are a type of bird
1744,flatiron,toiletry,office supply,flatirons are a type of toiletry,flatirons are a type of office supply
1745,crouton,food,tool,croutons are a type of food,croutons are a type of tool
1746,crouton,food,auto part,croutons are a type of food,croutons are a type of auto part
1747,crouton,food,toiletry,croutons are a type of food,croutons are a type of toiletry
1748,crouton,food,footwear,croutons are a type of food,croutons are a type of footwear
1749,pea,food,dessert,peas are a type of food,peas are a type of dessert
1750,pea,food,insect,peas are a type of food,peas are a type of insect
1751,pea,food,animal,peas are a type of food,peas are a type of animal
1752,pea,food,accessory,peas are a type of food,peas are a type of accessory
1753,pea,vegetable,sea animal,peas are a type of vegetable,peas are a type of sea animal
1754,pea,vegetable,water vehicle,peas are a type of vegetable,peas are a type of water vehicle
1755,pea,vegetable,kitchen tool,peas are a type of vegetable,peas are a type of kitchen tool
1756,pea,vegetable,auto part,peas are a type of vegetable,peas are a type of auto part
1757,belt buckle,fastener,mammal,belt buckles are a type of fastener,belt buckles are a type of mammal
1758,belt buckle,fastener,office supply,belt buckles are a type of fastener,belt buckles are a type of office supply
1759,belt buckle,fastener,electronic device,belt buckles are a type of fastener,belt buckles are a type of electronic device
1760,belt buckle,fastener,condiment,belt buckles are a type of fastener,belt buckles are a type of condiment
1761,belt buckle,accessory,bird,belt buckles are a type of accessory,belt buckles are a type of bird
