lemma,singular,plural,article,taxonomic_phrase,novel_property_is,novel_property_have,generic,remove
broom,broom,brooms,a broom,are a type of,brooms are daxable.,brooms have daxes.,p,
knife,knife,knives,a knife,are a type of,knives are daxable.,knives have daxes.,p,
neckwear,neckwear,neckwear,neckwear,is a type of,,,s,
platter,platter,platters,a platter,is a type of,,,s,
skirt,skirt,skirts,a skirt,are a type of,skirts are daxable.,skirts have daxes.,p,
wristband,wristband,wristbands,a wristband,are a type of,,,p,
spoon,spoon,spoons,a spoon,are a type of,spoons are daxable.,spoons have daxes.,p,
root vegetable,root vegetable,root vegetables,a root vegetable,are a type of,,,p,
mixer,mixer,mixers,a mixer,are a type of,mixers are daxable.,mixers have daxes.,p,
tabletop,tabletop,tabletops,a tabletop,are a type of,,,p,
desk,desk,desks,a desk,are a type of,desks are daxable.,desks have daxes.,p,
soil,soil,soil,soil,is a type of,,,s,
cookie,cookie,cookies,a cookie,are a type of,cookies are daxable.,cookies have daxes.,p,
can,can,cans,a can,are a type of,cans are daxable.,cans have daxes.,p,
cleaning tool,cleaning tool,cleaning tools,a cleaning tool,are a type of,,,p,
cart,cart,carts,a cart,are a type of,carts are daxable.,carts have daxes.,p,
case,case,cases,a case,is a type of,,,s,
keyboard instrument,keyboard instrument,keyboard instruments,a keyboard instrument,are a type of,,,p,
ball,ball,balls,a ball,are a type of,balls are daxable.,balls have daxes.,p,
footwear,footwear,footwears,footwear,is a type of,footwear is daxable.,footwear has daxes.,s,
tableware,tableware,tableware,tableware,is a type of,,,s,
instrument,instrument,instruments,an instrument,are a type of,instruments are daxable.,instruments have daxes.,p,
antelope,antelope,antelopes,an antelope,are a type of,antelopes are daxable.,antelopes have daxes.,p,
fruit,fruit,fruits,a fruit,are a type of,fruits are daxable.,fruits have daxes.,p,
structure,structure,structures,a structure,is a type of,,,s,
tunnel,tunnel,tunnels,a tunnel,are a type of,,,p,
water vehicle,water vehicle,water vehicles,a water vehicle,are a type of,water vehicles are daxable.,water vehicles have daxes.,p,
owl,owl,owls,an owl,are a type of,owls are daxable.,owls have daxes.,p,
animal food,animal food,animal food,animal food,is a type of,,,s,
light fixture,light fixture,light fixtures,a light fixture,are a type of,,,p,
lettuce,lettuce,lettuces,a lettuce,is a type of,a lettuce is daxable.,a lettuce has daxes.,s,
television,television,televisions,a television,are a type of,televisions are daxable.,televisions have daxes.,p,
sculpture,sculpture,sculptures,a sculpture,are a type of,,,p,
brush,brush,brushes,a brush,are a type of,brushes are daxable.,brushes have daxes.,p,
dock,dock,docks,a dock,are a type of,,,p,
tomato,tomato,tomatoes,a tomato,are a type of,tomatoes are daxable.,tomatoes have daxes.,p,
shoe,shoe,shoes,a shoe,are a type of,shoes are daxable.,shoes have daxes.,p,
protective garment,protective garment,protective garments,protective garment,is a type of,,,s,
bird of prey,bird of prey,birds of prey,a bird of prey,are a type of,,,p,
produce,produce,produce,produce,is a type of,produce is daxable.,produce has daxes.,s,
cereal,cereal,cereals,a cereal,are a type of,cereals are daxable.,cereals have daxes.,p,
hat,hat,hats,a hat,are a type of,hats are daxable.,hats have daxes.,p,
airplane,airplane,airplanes,an airplane,are a type of,airplanes are daxable.,airplanes have daxes.,p,
heating element,heating element,heating elements,a heating element,is a type of,,,s,
pineapple,pineapple,pineapples,a pineapple,are a type of,pineapples are daxable.,pineapples have daxes.,p,
entrance,entrance,entrances,an entrance,is a type of,,,s,
pencil,pencil,pencils,a pencil,are a type of,pencils are daxable.,pencils have daxes.,p,
work surface,work surface,work surfaces,a work surface,is a type of,,,s,
domestic fowl,domestic fowl,domestic fowl,domestic fowl,are a type of,,,p,
watch,watch,watches,a watch,are a type of,watches are daxable.,watches have daxes.,p,
comforter,comforter,comforters,a comforter,is a type of,,,s,
church,church,churches,a church,is a type of,,,s,
passageway,passageway,passageways,a passageway,is a type of,,,s,
waste,waste,waste,waste,is a type of,,,s,
blind,blinds,blinds,blinds,are a type of,,,p,
cage,cage,cages,a cage,are a type of,cages are daxable.,cages have daxes.,p,
lemon,lemon,lemons,a lemon,are a type of,lemons are daxable.,lemons have daxes.,p,
station,station,stations,a station,is a type of,,,s,
earth,earth,earth,earth,is a type of,,,s,
microwave,microwave,microwaves,a microwave,are a type of,microwaves are daxable.,microwaves have daxes.,p,
jar,jar,jars,a jar,are a type of,jars are daxable.,jars have daxes.,p,
insect,insect,insects,an insect,are a type of,insects are daxable.,insects have daxes.,p,
scarf,scarf,scarves,a scarf,are a type of,scarves are daxable.,scarves have daxes.,p,
lady,lady,ladies,a lady,is,,,s,
taxi,taxi,taxis,a taxi,are a type of,taxis are daxable.,taxis have daxes.,p,
cathedral,cathedral,cathedrals,a cathredral,is a type of,,,s,
container,container,containers,a container,are a type of,containers are daxable.,containers have daxes.,p,
pizza,pizza,pizzas,a pizza,are a type of,pizzas are daxable.,pizzas have daxes.,p,
arrangement,arrangement,arrangements,an arrangement,is a type of,,,s,
meat,meat,meats,meat,is a type of,meat is daxable.,meat has daxes.,s,
citrus fruit,citrus fruit,citrus fruits,citrus fruits,are a type of,,,p,
top,top,tops,a top,is a type of,,,s,
